Entity,Code,Year,Inbound tourism purpose (business and professional)
New Caledonia,NCL,1995,9000.0
New Caledonia,NCL,2000,13000.0
New Caledonia,NCL,2005,12000.0
New Caledonia,NCL,2010,19000.0
New Caledonia,NCL,2015,15000.0
New Caledonia,NCL,2021,2400.0
Saint Kitts and Nevis,KNA,1995,5000.0
Saint Kitts and Nevis,KNA,2010,15100.0
Saint Kitts and Nevis,KNA,2021,2000.0
Saint Vincent and the Grenadines,VCT,1995,6000.0
Saint Vincent and the Grenadines,VCT,2005,21000.0
Saint Vincent and the Grenadines,VCT,2010,14000.0
Saint Vincent and the Grenadines,VCT,2015,13000.0
Saint Vincent and the Grenadines,VCT,2021,3800.0
