Entity,Code,Year,DALYs (Disability-Adjusted Life Years) - All causes - Sex: Both - Age: Age-standardized (Rate),"Current health expenditure per capita, PPP (current international $)",Population (historical estimates),Continent
Afghanistan,AFG,2019,55424.65,285.55814,37769496.0,
Africa,,2019,,,1327701380.0,
Argentina,ARG,2019,25646.36,2198.8804,44745516.0,
Asia,,2019,,,4627738749.0,
Bahamas,BHS,2019,31350.05,2227.642,404563.0,
Bangladesh,BGD,2019,30475.26,123.287,165516224.0,
Barbados,BRB,2019,26073.51,1028.8302,280193.0,
Botswana,BWA,2019,56114.69,1122.142,2499705.0,
Brazil,BRA,2019,29427.39,1497.8147,211782880.0,
Burkina Faso,BFA,2019,58768.86,122.40751,20951638.0,
Cambodia,KHM,2019,37509.05,316.04703,16207746.0,
Central African Republic,CAF,2019,88071.47,78.44311,5209329.0,
Chad,TCD,2019,62291.51,69.39679,16126868.0,
China,CHN,2019,22270.51,880.1913,1421864064.0,
Czechia,CZE,2019,21153.29,3477.026,10536876.0,
Democratic Republic of Congo,COD,2019,50113.59,40.61374,89906896.0,
Egypt,EGY,2019,34081.03,582.22736,105618672.0,
Eswatini,SWZ,2019,67878.68,610.494,1169620.0,
Ethiopia,ETH,2019,40990.33,75.11409,114120592.0,
Europe,,2019,,,747418251.0,
France,FRA,2019,18781.51,5492.5303,64399760.0,
Gabon,GAB,2019,42831.02,432.18716,2242788.0,
Germany,DEU,2019,20075.12,6738.6704,83148144.0,
Greece,GRC,2019,20200.9,2418.808,10574026.0,
Guyana,GUY,2019,43661.13,673.5684,798761.0,
India,IND,2019,37843.33,211.00223,1383112064.0,
Indonesia,IDN,2019,33996.78,358.2896,269582880.0,
Iran,IRN,2019,25029.07,868.18445,86564208.0,
Iraq,IRQ,2019,31557.93,483.3389,41563524.0,
Italy,ITA,2019,18185.86,3998.012,59727936.0,
Japan,JPN,2019,15885.71,4587.0347,125791680.0,
Kazakhstan,KAZ,2019,32474.94,765.4896,18754260.0,
Kenya,KEN,2019,44993.5,207.6185,50951452.0,
Kiribati,KIR,2019,60019.93,246.99055,124252.0,
Kyrgyzstan,KGZ,2019,29725.44,260.34903,6323643.0,
Lesotho,LSO,2019,90771.64,313.6058,2225710.0,
Mali,MLI,2019,58879.55,94.55035,20567430.0,
Mexico,MEX,2019,28055.23,1110.9443,125085312.0,
Micronesia (country),FSM,2019,49646.91,364.209,111392.0,
Mozambique,MOZ,2019,67259.91,104.819954,30285602.0,
Namibia,NAM,2019,48465.54,867.3483,2446648.0,
Nepal,NPL,2019,35952.94,176.95505,28832500.0,
Niger,NER,2019,56580.16,72.48323,23443400.0,
Nigeria,NGA,2019,53229.6,162.31247,203304496.0,
North America,,2019,,,590497015.0,
Norway,NOR,2019,18460.99,7217.3867,5348285.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,48022.12,165.55055,223293280.0,
Palau,PLW,2019,41793.18,2901.9253,17939.0,
Peru,PER,2019,22589.26,711.62537,32824864.0,
Poland,POL,2019,22749.21,2206.5356,38493600.0,
Portugal,PRT,2019,19673.92,3517.7234,10289921.0,
Saudi Arabia,SAU,2019,28647.81,2789.5598,35827364.0,
Senegal,SEN,2019,41707.5,144.80397,16000783.0,
Serbia,SRB,2019,25412.65,1686.0693,7401056.0,
South Africa,ZAF,2019,49954.28,1187.3295,58087060.0,
South America,,2019,,,428318218.0,
Sri Lanka,LKA,2019,24579.83,569.573,21649664.0,
Tanzania,TZA,2019,44863.07,99.34875,59872584.0,
Togo,TGO,2019,49443.65,125.55871,8243093.0,
Turkey,TUR,2019,23763.44,1186.7393,83481688.0,
Tuvalu,TUV,2019,40479.86,1071.2986,10983.0,
Ukraine,UKR,2019,35852.17,907.15967,44211100.0,
United States,USA,2019,26061.04,10921.013,334319680.0,
Uzbekistan,UZB,2019,40111.38,418.01346,32976946.0,
Vietnam,VNM,2019,27542.64,558.873,95776712.0,
World,OWID_WRL,2019,32856.98,1458.9423,7764951040.0,
