Entity,Code,Year,Annual CO₂ emissions,Annual consumption-based CO₂ emissions
China,CHN,1990,2484854800.0,2320345600.0
China,CHN,1995,3361637000.0,2993953500.0
China,CHN,2000,3649201000.0,3262526500.0
China,CHN,2005,5882143000.0,4717783600.0
China,CHN,2010,8620627000.0,7336800000.0
China,CHN,2015,9866952000.0,8868106000.0
China,CHN,2022,11396777000.0,
India,IND,1990,577996000.0,575434050.0
India,IND,1995,760461630.0,719188900.0
India,IND,2000,977526400.0,908171840.0
India,IND,2005,1185674200.0,1096385700.0
India,IND,2010,1677337200.0,1577665900.0
India,IND,2015,2234219500.0,2095201300.0
India,IND,2022,2829644300.0,
United Kingdom,GBR,1990,601945100.0,669606140.0
United Kingdom,GBR,1995,566158900.0,644332500.0
United Kingdom,GBR,2000,569033660.0,744108100.0
United Kingdom,GBR,2005,570338370.0,750134460.0
United Kingdom,GBR,2010,511904580.0,676785600.0
United Kingdom,GBR,2015,422460800.0,588640500.0
United Kingdom,GBR,2022,318654370.0,
United States,USA,1990,5120957000.0,5048029700.0
United States,USA,1995,5425259500.0,5372450000.0
United States,USA,2000,6010135600.0,6253939700.0
United States,USA,2005,6132183000.0,6724063700.0
United States,USA,2010,5679715300.0,5965814000.0
United States,USA,2015,5376473000.0,5790281000.0
United States,USA,2022,5057303600.0,
