Entity,Code,Year,Aquaculture production (metric tons)
Austria,AUT,1960,650.0
Austria,AUT,1970,870.0
Austria,AUT,1980,3200.0
Austria,AUT,1990,3126.0
Austria,AUT,2000,2847.0
Austria,AUT,2010,2167.0
Austria,AUT,2020,4527.37
Nigeria,NGA,1960,2005.0
Nigeria,NGA,1970,3809.0
Nigeria,NGA,1980,6028.0
Nigeria,NGA,1990,7347.0
Nigeria,NGA,2000,25718.0
Nigeria,NGA,2010,200535.0
Nigeria,NGA,2020,261710.73
South Sudan,SSD,1960,0.0
South Sudan,SSD,1970,0.0
South Sudan,SSD,1980,0.0
South Sudan,SSD,1990,0.0
South Sudan,SSD,2000,0.0
South Sudan,SSD,2010,0.0
South Sudan,SSD,2020,30.0
Tuvalu,TUV,1960,0.0
Tuvalu,TUV,1970,0.0
Tuvalu,TUV,1980,0.0
Tuvalu,TUV,1990,0.0
Tuvalu,TUV,2000,0.0
Tuvalu,TUV,2010,2.5
Tuvalu,TUV,2020,2.5
United Arab Emirates,ARE,1960,0.0
United Arab Emirates,ARE,1970,0.0
United Arab Emirates,ARE,1980,0.0
United Arab Emirates,ARE,1990,0.0
United Arab Emirates,ARE,2000,0.0
United Arab Emirates,ARE,2010,198.0
United Arab Emirates,ARE,2020,3047.78
United Kingdom,GBR,1960,35.0
United Kingdom,GBR,1970,444.0
United Kingdom,GBR,1980,2855.0
United Kingdom,GBR,1990,50044.0
United Kingdom,GBR,2000,152485.0
United Kingdom,GBR,2010,201363.84
United Kingdom,GBR,2020,220999.84
Venezuela,VEN,1960,0.0
Venezuela,VEN,1970,20.0
Venezuela,VEN,1980,272.0
Venezuela,VEN,1990,638.0
Venezuela,VEN,2000,13505.0
Venezuela,VEN,2010,18225.33
Venezuela,VEN,2020,53609.0
