Entity,Code,Year,Renewables - % electricity
China,CHN,1985,22.495691
China,CHN,1990,20.414036
China,CHN,1995,19.286135
China,CHN,2000,16.639128
China,CHN,2005,16.173119
China,CHN,2010,18.691467
China,CHN,2015,23.968369
China,CHN,2020,28.08742
China,CHN,2022,30.175854
Dominica,DMA,2000,42.857143
Dominica,DMA,2005,37.5
Dominica,DMA,2010,22.222221
Dominica,DMA,2015,20.0
Dominica,DMA,2020,25.0
French Guiana,GUF,2000,0.0
French Guiana,GUF,2005,91.17647
French Guiana,GUF,2010,67.567566
Guam,GUM,2000,0.0
Guam,GUM,2005,0.0
Guam,GUM,2010,0.0
Guam,GUM,2015,1.8181819
Guam,GUM,2020,4.117647
Tunisia,TUN,2000,0.8032128
Tunisia,TUN,2005,1.387818
Tunisia,TUN,2010,1.270903
Tunisia,TUN,2015,3.1607628
Tunisia,TUN,2020,4.3411646
Tunisia,TUN,2022,4.38856
