Entity,Code,Year,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)","GDP per capita, PPP (constant 2017 international $)",Continent
Afghanistan,AFG,2019,98.169624,2079.9219,
Albania,ALB,2019,61.18479,13655.665,
Angola,AGO,2019,20.784925,6602.424,
Antigua and Barbuda,ATG,2019,15.652174,23035.658,
Argentina,ARG,2019,73.928,22071.748,
Armenia,ARM,2019,74.48517,14317.553,
Australia,AUS,2019,58.36716,49379.094,
Austria,AUT,2019,2.2078404,55806.438,
Azerbaijan,AZE,2019,92.24782,14442.041,
Bahrain,BHR,2019,33.310314,49768.977,
Bangladesh,BGD,2019,87.817116,5467.208,
Barbados,BRB,2019,67.65432,15954.803,
Belarus,BLR,2019,27.025038,19279.209,
Belize,BLZ,2019,67.72277,9028.552,
Benin,BEN,2019,25.213675,3156.439,
Bolivia,BOL,2019,91.954025,8528.749,
Botswana,BWA,2019,36.92757,15117.995,
Brunei,BRN,2019,5.7608695,61424.363,
Burkina Faso,BFA,2019,51.430317,2110.0623,
Burundi,BDI,2019,79.25741,729.65845,
Canada,CAN,2019,10.6511,49171.51,
Central African Republic,CAF,2019,0.55172414,861.7668,
Chile,CHL,2019,90.88663,24816.611,
Comoros,COM,2019,47.0,3290.6506,
Congo,COG,2019,4.36205,3695.0618,
Costa Rica,CRI,2019,80.65844,20818.062,
Croatia,HRV,2019,10.958904,29352.79,
Cyprus,CYP,2019,59.9278,41746.918,
Czechia,CZE,2019,2.8552456,40989.727,
Democratic Republic of Congo,COD,2019,10.517847,1059.8921,
Denmark,DNK,2019,53.56274,56813.965,
Djibouti,DJI,2019,15.789474,4768.113,
Dominica,DMA,2019,5.0,12395.421,
Ecuador,ECU,2019,81.427704,11390.217,
Gambia,GMB,2019,38.582676,2083.309,
Ghana,GHA,2019,73.05749,5345.9414,
Greece,GRC,2019,80.14829,29721.586,
Grenada,GRD,2019,14.893617,15393.791,
Guatemala,GTM,2019,56.737164,8671.703,
Guinea,GIN,2019,67.41573,2545.1401,
Haiti,HTI,2019,83.37931,3101.5942,
Ireland,IRL,2019,4.5550103,86681.27,
Israel,ISR,2019,51.3805,40810.055,
Japan,JPN,2019,67.6359,41697.41,
Kazakhstan,KAZ,2019,63.164204,26351.805,
Latvia,LVA,2019,32.315166,31038.68,
Lithuania,LTU,2019,22.461575,37184.453,
Luxembourg,LUX,2019,1.2170385,114542.5,
Malaysia,MYS,2019,45.645042,27674.402,
Maldives,MDV,2019,0.0,20574.404,
Mauritius,MUS,2019,50.33445,23681.58,
Norway,NOR,2019,31.394917,64385.008,
Panama,PAN,2019,36.82516,31543.605,
Portugal,PRT,2019,55.75642,34945.66,
Qatar,QAT,2019,25.081789,90840.43,
Romania,ROU,2019,22.241272,30006.336,
Rwanda,RWA,2019,59.01639,2191.4016,
Saudi Arabia,SAU,2019,81.56356,44954.992,
Seychelles,SYC,2019,6.569343,29369.53,
Switzerland,CHE,2019,9.056455,70857.086,
Togo,TGO,2019,34.08072,2080.5242,
United Arab Emirates,ARE,2019,48.185406,71782.16,
United States,USA,2019,39.658783,62478.254,
Uruguay,URY,2019,86.61202,23256.598,
