Entity,Code,Year,Gini coefficient (Post-tax national) (Estimated),Gini coefficient (Pretax) (Estimated),Population,Continent
Albania,ALB,2019,,,2873883.0,
Argentina,ARG,2019,,,44745516.0,
Australia,AUS,2019,0.30633268,,25357168.0,
Brazil,BRA,2019,0.6152835,0.67221135,211782880.0,
Chile,CHL,2019,0.611332,0.72366387,19039484.0,
Costa Rica,CRI,2019,0.59525394,0.669343,5084527.0,
Czechia,CZE,2019,,,10536876.0,
Europe,,2019,,,747418251.0,
France,FRA,2019,,,64399760.0,
Germany,DEU,2019,,,83148144.0,
Malta,MLT,2019,,,503646.0,
Mexico,MEX,2019,0.7154827,0.7485982,125085312.0,
Netherlands,NLD,2019,,,17363260.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Romania,ROU,2019,,,19524212.0,
Serbia,SRB,2019,,,7401056.0,
Slovakia,SVK,2019,,,5453932.0,
South America,,2019,,,428318218.0,
Spain,ESP,2019,,,47131372.0,
United Kingdom,GBR,2019,,,66778660.0,
United States,USA,2019,0.49076802,0.5807811,334319680.0,
Uruguay,URY,2019,0.46237177,0.53298765,3428412.0,
