Entity,Code,Year,"DALYs from all causes attributed to ambient particulate matter pollution per 100,000 people in, both sexes aged age-standardized"
Saint Kitts and Nevis,KNA,1990,868.6403
Saint Kitts and Nevis,KNA,1995,771.2799
Saint Kitts and Nevis,KNA,2000,665.397
Saint Kitts and Nevis,KNA,2005,501.98203
Saint Kitts and Nevis,KNA,2010,453.76837
Saint Kitts and Nevis,KNA,2015,486.57187
Saint Kitts and Nevis,KNA,2019,519.3908
Sri Lanka,LKA,1990,779.1228
Sri Lanka,LKA,1995,767.8771
Sri Lanka,LKA,2000,913.2871
Sri Lanka,LKA,2005,958.0318
Sri Lanka,LKA,2010,994.22797
Sri Lanka,LKA,2015,801.3562
Sri Lanka,LKA,2019,821.23615
Vietnam,VNM,1990,659.9674
Vietnam,VNM,1995,727.058
Vietnam,VNM,2000,837.9885
Vietnam,VNM,2005,1054.7104
Vietnam,VNM,2010,1252.9786
Vietnam,VNM,2015,1126.823
Vietnam,VNM,2019,1094.8497
