Entity,Code,Year,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",Population (historical estimates),Continent,"Maternal mortality ratio (modeled estimate, per 100,000 live births).1",Year.1
Africa,,2000,,818952374.0,,,
Africa,,2017,,1263333997.0,,,
Asia,,2000,,3735089775.0,,,
Asia,,2017,,4547095064.0,,,
Belarus,BLR,2000,22.0,10256489.0,,2.0,2017.0
Belarus,BLR,2017,2.0,9707874.0,,2.0,2017.0
Bulgaria,BGR,2000,19.0,8097694.0,,10.0,2017.0
Bulgaria,BGR,2017,10.0,7182430.0,,10.0,2017.0
Chile,CHL,2000,31.0,15351803.0,,13.0,2017.0
Chile,CHL,2017,13.0,18368582.0,,13.0,2017.0
China,CHN,2000,59.0,1264099072.0,,29.0,2017.0
China,CHN,2017,29.0,1410275968.0,,29.0,2017.0
Cyprus,CYP,2000,14.0,948238.0,,6.0,2017.0
Cyprus,CYP,2017,6.0,1208527.0,,6.0,2017.0
Czechia,CZE,2000,7.0,10234712.0,,3.0,2017.0
Czechia,CZE,2017,3.0,10531315.0,,3.0,2017.0
Ecuador,ECU,2000,122.0,12626511.0,,59.0,2017.0
Ecuador,ECU,2017,59.0,16696947.0,,59.0,2017.0
Eritrea,ERI,2000,1280.0,2392888.0,,480.0,2017.0
Eritrea,ERI,2017,480.0,3396933.0,,480.0,2017.0
Europe,,2000,,727917165.0,,,
Europe,,2017,,745657647.0,,,
European Union (27),,2000,10.0,426635103.0,,6.0,2017.0
European Union (27),,2017,6.0,443746907.0,,6.0,2017.0
Germany,DEU,2000,7.0,81551680.0,,7.0,2017.0
Germany,DEU,2017,7.0,82624368.0,,7.0,2017.0
Ghana,GHA,2000,484.0,19665506.0,,308.0,2017.0
Ghana,GHA,2017,308.0,30222266.0,,308.0,2017.0
Greece,GRC,2000,3.0,11038112.0,,3.0,2017.0
Greece,GRC,2017,3.0,10692230.0,,3.0,2017.0
Haiti,HTI,2000,437.0,8360224.0,,480.0,2017.0
Haiti,HTI,2017,480.0,10863546.0,,480.0,2017.0
High-income countries,,2000,13.0,1073716442.0,,11.0,2017.0
High-income countries,,2017,11.0,1202872536.0,,11.0,2017.0
India,IND,2000,370.0,1059633664.0,,145.0,2017.0
India,IND,2017,145.0,1354195712.0,,145.0,2017.0
Indonesia,IDN,2000,272.0,214072416.0,,177.0,2017.0
