Entity,Code,Year,Inequality in life expectancy,"Current health expenditure per capita, PPP (current international $)",Population (historical estimates),Continent
Afghanistan,AFG,2019,0.2702129,285.55814,37769496.0,
Africa,,2019,,,1327701380.0,
Angola,AGO,2019,0.29735142,178.02606,32353592.0,
Argentina,ARG,2019,0.076287605,2198.8804,44745516.0,
Armenia,ARM,2019,0.0749543,1616.1779,2820604.0,
Asia,,2019,,,4627738749.0,
Bahamas,BHS,2019,0.14030403,2227.642,404563.0,
Bangladesh,BGD,2019,0.16439849,123.287,165516224.0,
Barbados,BRB,2019,0.08421159,1028.8302,280193.0,
Belarus,BLR,2019,0.0358132,1198.6211,9673971.0,
Bolivia,BOL,2019,0.1904623,630.7591,11777318.0,
Botswana,BWA,2019,0.22400883,1122.142,2499705.0,
Brazil,BRA,2019,0.097126186,1497.8147,211782880.0,
Burundi,BDI,2019,0.27000946,61.796417,11874838.0,
Cambodia,KHM,2019,0.16250691,316.04703,16207746.0,
Chad,TCD,2019,0.40170276,69.39679,16126868.0,
China,CHN,2019,0.058636583,880.1913,1421864064.0,
Cote d'Ivoire,CIV,2019,0.31693324,179.55179,26147544.0,
Democratic Republic of Congo,COD,2019,0.33348876,40.61374,89906896.0,
Djibouti,DJI,2019,0.2702727,104.14179,1073999.0,
Egypt,EGY,2019,0.11385559,582.22736,105618672.0,
Equatorial Guinea,GNQ,2019,0.31539404,607.4327,1553037.0,
Eswatini,SWZ,2019,0.238917,610.494,1169620.0,
Ethiopia,ETH,2019,0.24463025,75.11409,114120592.0,
Europe,,2019,,,747418251.0,
Gabon,GAB,2019,0.20661362,432.18716,2242788.0,
Germany,DEU,2019,0.034748457,6738.6704,83148144.0,
Ghana,GHA,2019,0.23750883,193.22354,31522294.0,
Greece,GRC,2019,0.0348455,2418.808,10574026.0,
Guatemala,GTM,2019,0.14826792,529.12036,17106338.0,
Guinea,GIN,2019,0.3644086,119.59002,12877537.0,
Guyana,GUY,2019,0.1656174,673.5684,798761.0,
India,IND,2019,0.1816868,211.00223,1383112064.0,
Indonesia,IDN,2019,0.14000449,358.2896,269582880.0,
Iran,IRN,2019,0.089642,868.18445,86564208.0,
Israel,ISR,2019,0.033072203,3326.253,8607922.0,
Japan,JPN,2019,0.027066242,4587.0347,125791680.0,
Kyrgyzstan,KGZ,2019,0.11276361,260.34903,6323643.0,
Lesotho,LSO,2019,0.34250286,313.6058,2225710.0,
Liberia,LBR,2019,0.31470603,126.02078,4985290.0,
Mexico,MEX,2019,0.09859389,1110.9443,125085312.0,
Morocco,MAR,2019,0.11656558,424.50296,36304408.0,
Mozambique,MOZ,2019,0.29651162,104.819954,30285602.0,
Myanmar,MMR,2019,0.22100678,226.83073,53040212.0,
Niger,NER,2019,0.3017652,72.48323,23443400.0,
Nigeria,NGA,2019,0.40945134,162.31247,203304496.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,0.281768,165.55055,223293280.0,
Panama,PAN,2019,0.11469111,2490.9478,4232538.0,
Paraguay,PRY,2019,0.12008074,950.1435,6530029.0,
Peru,PER,2019,0.089297354,711.62537,32824864.0,
Russia,RUS,2019,0.050766267,1704.0397,145742288.0,
Rwanda,RWA,2019,0.20626633,145.73892,12835029.0,
Saudi Arabia,SAU,2019,0.055807203,2789.5598,35827364.0,
Senegal,SEN,2019,0.19207647,144.80397,16000783.0,
Sierra Leone,SLE,2019,0.3687432,156.99834,8046830.0,
Solomon Islands,SLB,2019,0.12742557,131.09265,675000.0,
South Africa,ZAF,2019,0.19358057,1187.3295,58087060.0,
South America,,2019,,,428318218.0,
South Sudan,SSD,2019,0.3712003,62.992046,10447677.0,
Sri Lanka,LKA,2019,0.056596313,569.573,21649664.0,
Sudan,SDN,2019,0.26257995,204.53532,43232092.0,
Suriname,SUR,2019,0.116699435,1680.192,600305.0,
Tanzania,TZA,2019,0.22970615,99.34875,59872584.0,
Turkey,TUR,2019,0.06443635,1186.7393,83481688.0,
Tuvalu,TUV,2019,0.15035635,1071.2986,10983.0,
Uganda,UGA,2019,0.21595497,92.37874,42949076.0,
United States,USA,2019,0.057112828,10921.013,334319680.0,
Uzbekistan,UZB,2019,0.09486934,418.01346,32976946.0,
Vanuatu,VUT,2019,0.1481476,110.6409,304414.0,
Vietnam,VNM,2019,0.13496464,558.873,95776712.0,
World,OWID_WRL,2019,0.13736278,1458.9423,7764951040.0,
