Entity,Code,Year,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Percent)
Namibia,NAM,1990,2.19
Namibia,NAM,1995,16.05
Namibia,NAM,2000,34.05
Namibia,NAM,2005,39.24
Namibia,NAM,2010,26.42
Namibia,NAM,2015,23.93
Namibia,NAM,2019,20.09
South Africa,ZAF,1990,0.97
South Africa,ZAF,1995,10.35
South Africa,ZAF,2000,29.51
South Africa,ZAF,2005,41.12
South Africa,ZAF,2010,36.89
South Africa,ZAF,2015,29.67
South Africa,ZAF,2019,27.53
United States,USA,1990,1.3
United States,USA,1995,1.96
United States,USA,2000,0.67
United States,USA,2005,0.57
United States,USA,2010,0.37
United States,USA,2015,0.26
United States,USA,2019,0.24
World,OWID_WRL,1990,0.72
World,OWID_WRL,1995,1.92
World,OWID_WRL,2000,3.08
World,OWID_WRL,2005,3.52
World,OWID_WRL,2010,2.59
World,OWID_WRL,2015,1.91
World,OWID_WRL,2019,1.53
Zimbabwe,ZWE,1990,14.89
Zimbabwe,ZWE,1995,44.94
Zimbabwe,ZWE,2000,55.32
Zimbabwe,ZWE,2005,52.43
Zimbabwe,ZWE,2010,34.58
Zimbabwe,ZWE,2015,21.96
Zimbabwe,ZWE,2019,16.46
