Entity,Code,Year,"17.2.1 - Net official development assistance (ODA) from OECD-DAC countries, by donor countries (millions of constant 2021 United States dollars) - DC_ODA_TOTL"
Greece,GRC,2000,367680000.0
Greece,GRC,2005,407190000.0
Greece,GRC,2010,441530000.0
Greece,GRC,2015,257050000.0
Greece,GRC,2020,344980000.0
Greece,GRC,2022,318220000.0
New Zealand,NZL,2000,285980000.0
New Zealand,NZL,2005,394720000.0
New Zealand,NZL,2010,418800000.0
New Zealand,NZL,2015,514010000.0
New Zealand,NZL,2020,593900000.0
New Zealand,NZL,2022,567660000.0
