Entity,Code,Year,6.b.1 - Proportion of countries with clearly defined procedures in law or policy for participation by service users/communities in planning program in water resources planning and management (%) - ER_WAT_PROCED
Central and Southern Asia (UN),,2017,90.0
Eastern and South-Eastern Asia (UN),,2017,90.0
Eastern and South-Eastern Asia (UN),,2019,45.45
Europe (UN),,2017,83.33
Europe and Northern America (UN),,2017,83.33
Latin America and the Caribbean (UN),,2017,77.27
Latin America and the Caribbean (UN),,2019,72.0
Oceania (UN),,2017,50.0
Sub-Saharan Africa (UN),,2017,88.0
Sub-Saharan Africa (UN),,2019,72.5
World,OWID_WRL,2017,82.93
World,OWID_WRL,2019,70.18
