Entity,Code,Year,Electricity from solar and wind - TWh
Australia,AUS,1990,0.0
Australia,AUS,2000,0.17999999
Australia,AUS,2010,5.97
Australia,AUS,2022,70.49
China,CHN,1980,0.0
China,CHN,1990,0.004020202
China,CHN,2000,0.60999995
China,CHN,2010,50.100002
China,CHN,2022,1190.42
India,IND,1980,0.0
India,IND,1990,0.03030303
India,IND,2000,1.59
India,IND,2010,19.57
India,IND,2022,165.21
South Africa,ZAF,1980,0.0
South Africa,ZAF,1990,0.0
South Africa,ZAF,2000,0.0
South Africa,ZAF,2010,0.049999997
South Africa,ZAF,2022,15.9
Spain,ESP,1965,0.0
Spain,ESP,1970,0.0
Spain,ESP,1980,0.0
Spain,ESP,1990,0.02
Spain,ESP,2000,4.7400002
Spain,ESP,2010,51.46
Spain,ESP,2022,94.73
United States,USA,1990,3.1875627
United States,USA,2000,6.08
United States,USA,2010,95.86
United States,USA,2022,639.38
World,OWID_WRL,1965,0.0
World,OWID_WRL,1970,0.0
World,OWID_WRL,1980,0.0105
World,OWID_WRL,1990,4.0208206
World,OWID_WRL,2000,32.3
World,OWID_WRL,2010,378.01
World,OWID_WRL,2022,3408.48
