Entity,Code,Year,Renewables - % electricity
Djibouti,DJI,2000,0.0
Djibouti,DJI,2005,0.0
Djibouti,DJI,2010,0.0
Djibouti,DJI,2015,0.0
Djibouti,DJI,2020,0.0
Eritrea,ERI,2000,0.0
Eritrea,ERI,2005,0.0
Eritrea,ERI,2010,0.0
Eritrea,ERI,2015,0.0
Eritrea,ERI,2020,2.3809524
Faroe Islands,FRO,2000,38.095238
Faroe Islands,FRO,2005,45.833336
Faroe Islands,FRO,2010,29.62963
Faroe Islands,FRO,2015,61.29032
Faroe Islands,FRO,2020,39.02439
Iran,IRN,1990,12.8020115
Iran,IRN,1995,9.866869
Iran,IRN,2000,3.2006702
Iran,IRN,2005,8.200147
Iran,IRN,2010,4.4254923
Iran,IRN,2015,4.7851844
Iran,IRN,2020,7.393238
Iran,IRN,2022,2.714503
Mauritania,MRT,2000,13.043478
Mauritania,MRT,2005,10.0
Mauritania,MRT,2010,18.75
Mauritania,MRT,2015,28.070175
Mauritania,MRT,2020,27.118645
Myanmar,MMR,2000,40.40816
Myanmar,MMR,2005,53.264603
Myanmar,MMR,2010,70.98093
Myanmar,MMR,2015,60.662
Myanmar,MMR,2020,47.920204
Turkmenistan,TKM,1990,0.020533882
Turkmenistan,TKM,1995,0.040383648
Turkmenistan,TKM,2000,0.0
Turkmenistan,TKM,2005,0.0
Turkmenistan,TKM,2010,0.0
Turkmenistan,TKM,2015,0.0
Turkmenistan,TKM,2020,0.0
Turkmenistan,TKM,2022,0.040421054
