Entity,Code,Year,Deaths - Stroke - Sex: Both - Age: All Ages (Number)
China,CHN,1990,1377090
China,CHN,1995,1484580
China,CHN,2000,1733171
China,CHN,2005,1950669
China,CHN,2010,1995632
China,CHN,2015,2012481
China,CHN,2019,2189175
India,IND,1990,377138
India,IND,1995,410043
India,IND,2000,473602
India,IND,2005,490706
India,IND,2010,547861
India,IND,2015,622558
India,IND,2019,699078
Russia,RUS,1990,338377
Russia,RUS,1995,449907
Russia,RUS,2000,474692
Russia,RUS,2005,466077
Russia,RUS,2010,373716
Russia,RUS,2015,330709
Russia,RUS,2019,327885
United Kingdom,GBR,1990,73175
United Kingdom,GBR,1995,68280
United Kingdom,GBR,2000,63208
United Kingdom,GBR,2005,56277
United Kingdom,GBR,2010,49088
United Kingdom,GBR,2015,47953
United Kingdom,GBR,2019,50633
United States,USA,1990,153733
United States,USA,1995,166270
United States,USA,2000,177679
United States,USA,2005,167832
United States,USA,2010,158981
United States,USA,2015,173858
United States,USA,2019,189456
