Entity,Code,Year,"Death rate per 100,000 people - Cause: Diarrhoeal diseases - Sex: Both sexes - Age group: ALLAges"
Brazil,BRA,2000,6.99
Brazil,BRA,2005,4.41
Brazil,BRA,2010,2.77
Brazil,BRA,2015,2.38
Brazil,BRA,2019,2.68
Central African Republic,CAF,2000,192.76
Central African Republic,CAF,2005,146.0
Central African Republic,CAF,2010,135.17
Central African Republic,CAF,2015,124.47
Central African Republic,CAF,2019,98.71
Colombia,COL,2000,4.8
Colombia,COL,2005,3.21
Colombia,COL,2010,1.75
Colombia,COL,2015,1.48
Colombia,COL,2019,1.49
Croatia,HRV,2000,0.28
Croatia,HRV,2005,0.35
Croatia,HRV,2010,0.52
Croatia,HRV,2015,0.98
Croatia,HRV,2019,1.99
Djibouti,DJI,2000,84.1
Djibouti,DJI,2005,56.94
Djibouti,DJI,2010,52.47
Djibouti,DJI,2015,43.11
Djibouti,DJI,2019,37.44
Laos,LAO,2000,81.54
Laos,LAO,2005,51.76
Laos,LAO,2010,40.1
Laos,LAO,2015,28.43
Laos,LAO,2019,21.64
Namibia,NAM,2000,59.51
Namibia,NAM,2005,50.34
Namibia,NAM,2010,42.39
Namibia,NAM,2015,34.82
Namibia,NAM,2019,25.85
Vietnam,VNM,2000,10.78
Vietnam,VNM,2005,8.07
Vietnam,VNM,2010,6.34
Vietnam,VNM,2015,5.33
Vietnam,VNM,2019,4.55
