Entity,Code,Year,Deaths in ongoing conflicts (best estimate) - Conflict type: intrastate (internationalized),Deaths in ongoing conflicts (best estimate) - Conflict type: intrastate (non-internationalized),Deaths in ongoing conflicts (best estimate) - Conflict type: extrasystemic,Deaths in ongoing conflicts (best estimate) - Conflict type: interstate
World,OWID_WRL,1990,3403,75741,0,1086
World,OWID_WRL,1994,984,37436,0,42
World,OWID_WRL,1998,10444,28325,0,1147
World,OWID_WRL,2002,1510,19170,0,212
World,OWID_WRL,2006,9496,10222,0,0
World,OWID_WRL,2010,11038,10049,0,0
World,OWID_WRL,2014,41716,74097,0,49
World,OWID_WRL,2018,49392,5194,0,240
World,OWID_WRL,2022,116402,5881,0,81726
World,OWID_WRL,1946,45,253457,42744,140
World,OWID_WRL,1950,0,9433,43718,497525
World,OWID_WRL,1954,0,1769,66750,1000
World,OWID_WRL,1958,166,21991,24380,1500
World,OWID_WRL,1962,23112,4653,25968,2205
World,OWID_WRL,1966,2883,7550,8180,78173
World,OWID_WRL,1970,4192,47684,8006,148902
World,OWID_WRL,1974,37660,24170,6642,193174
World,OWID_WRL,1978,46860,55548,0,165
World,OWID_WRL,1982,47878,90117,0,96514
World,OWID_WRL,1986,100367,70533,0,64500
