Entity,Code,Year,net_energy_traded_goods_pct_domestic
Austria,AUT,1995,30.84946325
Austria,AUT,2000,32.55536972
Austria,AUT,2005,26.70829521
Austria,AUT,2010,23.14694962
Austria,AUT,2015,22.43327235
Austria,AUT,2020,22.45136116
Belgium,BEL,1995,-0.263065033
Belgium,BEL,2000,3.318174422
Belgium,BEL,2005,18.09609145
Belgium,BEL,2010,23.21138207
Belgium,BEL,2015,26.5936074
Belgium,BEL,2020,25.34307524
Cyprus,CYP,1995,53.28937102
Cyprus,CYP,2000,122.183133
Cyprus,CYP,2005,36.01677339
Cyprus,CYP,2010,27.55129075
Cyprus,CYP,2015,2.669445434
Cyprus,CYP,2020,-12.71351812
Latvia,LVA,1995,-4.133949058
Latvia,LVA,2000,42.57588988
Latvia,LVA,2005,26.79113629
Latvia,LVA,2010,19.71240165
Latvia,LVA,2015,20.95948071
Latvia,LVA,2020,6.509562805
Lithuania,LTU,1995,-1.982121702
Lithuania,LTU,2000,13.44100043
Lithuania,LTU,2005,10.02503422
Lithuania,LTU,2010,8.303081438
Lithuania,LTU,2015,6.53993784
Lithuania,LTU,2020,-0.588242658
United States,USA,1995,4.079081537
United States,USA,2000,10.01880469
United States,USA,2005,14.88637461
United States,USA,2010,9.537901595
United States,USA,2015,12.72691709
United States,USA,2020,12.25953888
