Entity,Code,Year,Gini Index around 2015 (2000-2015 countries),Gini Index around 2000 (2000-2015 countries),Population (historical estimates),World Bank Region with Advanced Industrial category (2000-2015 countries)
Argentina,ARG,2015,42.400002,51.060001,43257064,Latin America and Caribbean
Argentina,ARG,2000,,,37070772,
Armenia,ARM,2015,32.360001,35.360001,2878598,Eastern Europe and Central Asia
Armenia,ARM,2000,,,3168525,
Benin,BEN,2015,47.759998,38.580002,10932791,Sub-Saharan Africa
Benin,BEN,2000,,,6998022,
Bolivia,BOL,2015,46.73,61.639999,11090090,Latin America and Caribbean
Bolivia,BOL,2000,,,8592656,
Brazil,BRA,2015,51.330002,58.41,205188208,Latin America and Caribbean
Brazil,BRA,2000,,,175873712,
Burkina Faso,BFA,2015,35.299999,49.939999,18718022,Sub-Saharan Africa
Burkina Faso,BFA,2000,,,11882896,
Cameroon,CMR,2015,46.639999,42.139999,23012650,Sub-Saharan Africa
Cameroon,CMR,2000,,,15091598,
China,CHN,2015,49.5,44.5,1393715456,East Asia and Pacific
China,CHN,2000,,,1264099072,
Costa Rica,CRI,2015,48.380001,47.450001,4895241,Latin America and Caribbean
Costa Rica,CRI,2000,,,3979189,
Djibouti,DJI,2015,44.130001,40.0,1006266,Sub-Saharan Africa
Djibouti,DJI,2000,,,742046,
East Timor,TLS,2015,28.65,35.939999,1205822,East Asia and Pacific
East Timor,TLS,2000,,,878367,
Ecuador,ECU,2015,45.950001,56.380001,16195904,Latin America and Caribbean
Ecuador,ECU,2000,,,12626511,
Egypt,EGY,2015,31.82,32.759998,97723792,Middle East and North Africa
Egypt,EGY,2000,,,71371368,
El Salvador,SLV,2015,40.549999,51.470001,6231072,Latin America and Caribbean
El Salvador,SLV,2000,,,5958482,
Ethiopia,ETH,2015,39.07,29.98,102471896,Sub-Saharan Africa
Ethiopia,ETH,2000,,,67031872,
Germany,DEU,2015,31.74,28.84,82073232,Advanced industrial economies
Germany,DEU,2000,,,81551680,
Guinea,GIN,2015,33.73,43.0,11626003,Sub-Saharan Africa
Guinea,GIN,2000,,,8336973,
Honduras,HND,2015,49.580002,55.240002,9294510,Latin America and Caribbean
Honduras,HND,2000,,,6656727,
Iceland,ISL,2015,27.799999,26.83,331068,Advanced industrial economies
Iceland,ISL,2000,,,281469,
Indonesia,IDN,2015,41.0,31.0,259091968,East Asia and Pacific
Indonesia,IDN,2000,,,214072416,
Iran,IRN,2015,38.779999,44.099998,81790848,Middle East and North Africa
Iran,IRN,2000,,,65544380,
Kazakhstan,KAZ,2015,26.860001,36.040001,17835908,Eastern Europe and Central Asia
Kazakhstan,KAZ,2000,,,15236256,
Kenya,KEN,2015,40.779999,44.98,46851496,Sub-Saharan Africa
Kenya,KEN,2000,,,30851604,
Mauritania,MRT,2015,32.619999,39.029999,3946225,Sub-Saharan Africa
Mauritania,MRT,2000,,,2695018,
Mexico,MEX,2015,48.310001,52.580002,120149896,Latin America and Caribbean
Mexico,MEX,2000,,,97873448,
Morocco,MAR,2015,39.549999,40.639999,34680456,Middle East and North Africa
Morocco,MAR,2000,,,28554420,
Mozambique,MOZ,2015,54.0,47.040001,26843252,Sub-Saharan Africa
Mozambique,MOZ,2000,,,17768510,
Nicaragua,NIC,2015,46.16,52.880001,6298610,Latin America and Caribbean
Nicaragua,NIC,2000,,,5123223,
Pakistan,PAK,2015,33.450001,33.119999,210969296,South Asia
Pakistan,PAK,2000,,,154369920,
Philippines,PHL,2015,44.349998,47.650002,103031360,East Asia and Pacific
Philippines,PHL,2000,,,77958224,
Portugal,PRT,2015,35.52,38.740002,10365436,Advanced industrial economies
Portugal,PRT,2000,,,10300632,
Romania,ROU,2015,28.32,29.32,19906078,Eastern Europe and Central Asia
Romania,ROU,2000,,,21919882,
Russia,RUS,2015,37.740002,37.09,144668384,Eastern Europe and Central Asia
Russia,RUS,2000,,,146844848,
South Africa,ZAF,2015,63.029999,57.77,55876504,Sub-Saharan Africa
South Africa,ZAF,2000,,,46813272,
Spain,ESP,2015,36.18,31.799999,46431344,Advanced industrial economies
Spain,ESP,2000,,,40741652,
Sweden,SWE,2015,29.209999,25.27,9849344,Advanced industrial economies
Sweden,SWE,2000,,,8871042,
Tajikistan,TJK,2015,34.0,29.540001,8524066,Eastern Europe and Central Asia
Tajikistan,TJK,2000,,,6273001,
Thailand,THA,2015,35.990002,42.830002,70294408,East Asia and Pacific
Thailand,THA,2000,,,63066604,
Ukraine,UKR,2015,25.459999,29.049999,44982568,Eastern Europe and Central Asia
Ukraine,UKR,2000,,,48879752,
United States,USA,2015,41.5,40.380001,324607776,Advanced industrial economies
United States,USA,2000,,,282398560,
Vietnam,VNM,2015,35.27,35.439999,92191400,East Asia and Pacific
Vietnam,VNM,2000,,,79001144,
Zambia,ZMB,2015,57.139999,49.130001,16248231,Sub-Saharan Africa
Zambia,ZMB,2000,,,9891140,
