Entity,Code,Year,Groundnuts | 00000242 || Yield | 005419 || tonnes per hectare
European Union (27),,1961,1.6757065
European Union (27),,1970,1.9785216
European Union (27),,1980,2.0945177
European Union (27),,1990,1.3774107
European Union (27),,2000,1.0711232
European Union (27),,2010,2.4651475
Mozambique,MOZ,1961,0.19999999
Mozambique,MOZ,1970,0.39999998
Mozambique,MOZ,1980,0.38
Mozambique,MOZ,1990,0.3306
Mozambique,MOZ,2000,0.4613
Mozambique,MOZ,2010,0.431
Mozambique,MOZ,2021,0.3421
Tonga,TON,1961,0.9375
Tonga,TON,1970,1.0316
Tonga,TON,1980,1.0769
Tonga,TON,1990,1.3974
Tonga,TON,2000,0.5445
Tonga,TON,2010,0.5669
Tonga,TON,2021,0.6146
