Entity,Code,Year,"Meat, pig | 00001035 || Yield | 005417 || kilograms per animal"
Africa (FAO),,1961,48.2
Africa (FAO),,1970,46.2
Africa (FAO),,1980,45.7
Africa (FAO),,1990,48.3
Africa (FAO),,2000,53.7
Africa (FAO),,2010,50.3
Africa (FAO),,2021,50.9
Bhutan,BTN,1961,36.7
Bhutan,BTN,1970,36.7
Bhutan,BTN,1980,36.7
Bhutan,BTN,1990,36.7
Bhutan,BTN,2000,36.7
Bhutan,BTN,2010,36.7
Bhutan,BTN,2021,39.100002
Haiti,HTI,1961,60.0
Haiti,HTI,1970,60.0
Haiti,HTI,1980,60.0
Haiti,HTI,1990,60.100002
Haiti,HTI,2000,60.0
Haiti,HTI,2010,60.0
Haiti,HTI,2021,60.0
Hong Kong,HKG,1961,45.0
Hong Kong,HKG,1970,47.8
Hong Kong,HKG,1980,49.4
Hong Kong,HKG,1990,57.600002
Hong Kong,HKG,2000,69.9
Hong Kong,HKG,2010,75.1
Hong Kong,HKG,2021,78.5
