Entity,Code,Year,Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Rate)
Saint Vincent and the Grenadines,VCT,1990,0.0
Saint Vincent and the Grenadines,VCT,1992,2.72
Saint Vincent and the Grenadines,VCT,1994,0.0
Saint Vincent and the Grenadines,VCT,1996,0.0
Saint Vincent and the Grenadines,VCT,1998,0.0
Saint Vincent and the Grenadines,VCT,2000,0.0
Saint Vincent and the Grenadines,VCT,2002,7.27
Saint Vincent and the Grenadines,VCT,2004,0.0
Saint Vincent and the Grenadines,VCT,2006,0.0
Saint Vincent and the Grenadines,VCT,2008,0.0
Saint Vincent and the Grenadines,VCT,2010,0.0
Saint Vincent and the Grenadines,VCT,2012,0.0
Saint Vincent and the Grenadines,VCT,2014,0.0
Saint Vincent and the Grenadines,VCT,2016,0.0
Saint Vincent and the Grenadines,VCT,2019,0.0
