Entity,Code,Year,"Meat, pig | 00001035 || Production | 005510 || tonnes"
Brazil,BRA,1961,534119.0
Brazil,BRA,1970,766523.0
Brazil,BRA,1980,980000.0
Brazil,BRA,1990,1050000.0
Brazil,BRA,2000,2600000.0
Brazil,BRA,2010,3195000.0
Brazil,BRA,2021,4365000.0
Canada,CAN,1961,534150.0
Canada,CAN,1970,745720.0
Canada,CAN,1980,1033616.0
Canada,CAN,1990,1123849.0
Canada,CAN,2000,1639980.0
Canada,CAN,2010,1938220.0
Canada,CAN,2021,2404595.0
China,CHN,1961,1370000.0
China,CHN,1970,5635000.0
China,CHN,1980,11341000.0
China,CHN,1990,22354800.0
China,CHN,2000,39659900.0
China,CHN,2010,50712400.0
China,CHN,2021,52959300.0
France,FRA,1961,1188000.0
France,FRA,1970,1375000.0
France,FRA,1980,1803000.0
France,FRA,1990,1726800.0
France,FRA,2000,2312000.0
France,FRA,2010,2254687.8
France,FRA,2021,2203830.0
Mexico,MEX,1961,422000.0
Mexico,MEX,1970,479000.0
Mexico,MEX,1980,1250800.0
Mexico,MEX,1990,757351.0
Mexico,MEX,2000,1029955.0
Mexico,MEX,2010,1174582.0
Mexico,MEX,2021,1693007.5
Russia,RUS,2000,1578200.0
Russia,RUS,2010,2330806.0
Russia,RUS,2021,4304053.0
United States,USA,1961,5174000.0
United States,USA,1970,6090000.0
United States,USA,1980,7536440.0
United States,USA,1990,6964000.0
United States,USA,2000,8596946.0
United States,USA,2010,10185656.0
United States,USA,2021,12559966.0
