Entity,Code,Year,Deaths - Lower respiratory infections - Sex: Both - Age: Age-standardized (Rate)
Kyrgyzstan,KGZ,1990,60.04
Kyrgyzstan,KGZ,1995,52.96
Kyrgyzstan,KGZ,2000,44.72
Kyrgyzstan,KGZ,2005,33.49
Kyrgyzstan,KGZ,2010,21.5
Kyrgyzstan,KGZ,2015,15.89
Kyrgyzstan,KGZ,2019,13.75
Seychelles,SYC,1990,86.26
Seychelles,SYC,1995,76.51
Seychelles,SYC,2000,62.36
Seychelles,SYC,2005,71.69
Seychelles,SYC,2010,80.07
Seychelles,SYC,2015,86.42
Seychelles,SYC,2019,83.16
United States Virgin Islands,VIR,1990,19.53
United States Virgin Islands,VIR,1995,18.03
United States Virgin Islands,VIR,2000,17.66
United States Virgin Islands,VIR,2005,16.44
United States Virgin Islands,VIR,2010,17.37
United States Virgin Islands,VIR,2015,17.04
United States Virgin Islands,VIR,2019,16.54
