Entity,Code,Year,Per capita imports of plastic waste via all modes of transport,Per capita exports of plastic waste via all modes of transport,World Bank's income classification
Afghanistan,AFG,2022,,,Low-income countries
Algeria,DZA,2022,,,Lower-middle-income countries
Andorra,AND,2022,0.0003131145,31.44689,High-income countries
Angola,AGO,2022,0.041528746,0.005706033,Lower-middle-income countries
Antigua and Barbuda,ATG,2022,,,High-income countries
Argentina,ARG,2022,0.00403381,,Upper-middle-income countries
Armenia,ARM,2022,0.06887032,0.0,Upper-middle-income countries
Australia,AUS,2022,0.43130624,2.839211,High-income countries
Austria,AUT,2022,27.414932,19.573078,High-income countries
Azerbaijan,AZE,2022,1.1639445,0.17056349,Upper-middle-income countries
Bahamas,BHS,2022,,,High-income countries
Barbados,BRB,2022,0.023650257,3.6175802,High-income countries
Belize,BLZ,2022,4.8800226e-05,0.9370084,Upper-middle-income countries
Benin,BEN,2022,0.0012753818,0.0045286166,Lower-middle-income countries
Bermuda,BMU,2022,0.042480573,,High-income countries
Bosnia and Herzegovina,BIH,2022,0.0,0.91013676,Upper-middle-income countries
Botswana,BWA,2022,0.013028932,0.14539558,Upper-middle-income countries
Brazil,BRA,2022,0.02549496,0.01625142,Upper-middle-income countries
Brunei,BRN,2022,0.06248304,0.2751636,High-income countries
Bulgaria,BGR,2022,11.130964,2.53964,Upper-middle-income countries
Burundi,BDI,2022,4.36011e-05,0.033485767,Low-income countries
Cameroon,CMR,2022,,,Lower-middle-income countries
Canada,CAN,2022,4.174289,4.772058,High-income countries
Cayman Islands,CYM,2022,,,High-income countries
Central African Republic,CAF,2022,0.00020164369,,Low-income countries
Chile,CHL,2022,0.18615937,0.4820046,High-income countries
China,CHN,2022,,0.037319675,Upper-middle-income countries
Colombia,COL,2022,,,Upper-middle-income countries
Congo,COG,2022,,,Lower-middle-income countries
Cote d'Ivoire,CIV,2022,0.0007387996,0.03018091,Lower-middle-income countries
Cuba,CUB,2022,,,Upper-middle-income countries
Cyprus,CYP,2022,24.525948,6.770255,High-income countries
East Timor,TLS,2022,2.758522e-05,0.0027132723,Lower-middle-income countries
Estonia,EST,2022,4.6815944,15.38671,High-income countries
Eswatini,SWZ,2022,,,Lower-middle-income countries
Ethiopia,ETH,2022,0.037679475,0.05920054,Low-income countries
Fiji,FJI,2022,0.000329114,0.3224812,Upper-middle-income countries
French Polynesia,PYF,2022,4.694866e-06,1.2186737,High-income countries
Georgia,GEO,2022,0.43343884,0.076778695,Upper-middle-income countries
Ghana,GHA,2022,,,Lower-middle-income countries
Greenland,GRL,2022,,,High-income countries
Grenada,GRD,2022,,,Upper-middle-income countries
Guyana,GUY,2022,1.7311157e-05,,High-income countries
High-income countries,,2022,3.1837435,3.065062,
Iceland,ISL,2022,0.001239223,13.022812,High-income countries
India,IND,2022,0.05642177,0.0029338836,Lower-middle-income countries
Iran,IRN,2022,,,Lower-middle-income countries
Ireland,IRL,2022,7.989112,0.0,High-income countries
Kuwait,KWT,2022,,,High-income countries
Laos,LAO,2022,,,Lower-middle-income countries
Lebanon,LBN,2022,0.057360597,2.9006546,Lower-middle-income countries
Low-income countries,,2022,0.007952701,0.015970714,
Lower-middle-income countries,,2022,0.0558104,0.07325769,
Madagascar,MDG,2022,0.0006922935,5.301955e-05,Low-income countries
Malawi,MWI,2022,,,Low-income countries
Malaysia,MYS,2022,10.350687,0.4727685,Upper-middle-income countries
Malta,MLT,2022,0.11755077,2.0267808,High-income countries
Mauritius,MUS,2022,0.0006594956,1.2465036,Upper-middle-income countries
Moldova,MDA,2022,3.0553074e-05,0.11187864,Upper-middle-income countries
Nepal,NPL,2022,5.0164163e-05,0.00026188648,Lower-middle-income countries
Norway,NOR,2022,0.9339167,12.695429,High-income countries
Peru,PER,2022,,,Upper-middle-income countries
Saint Vincent and the Grenadines,VCT,2022,,,Upper-middle-income countries
Samoa,WSM,2022,,,Lower-middle-income countries
Sao Tome and Principe,STP,2022,1.3193019e-06,,Lower-middle-income countries
Upper-middle-income countries,,2022,0.4661076,0.07609213,
Uzbekistan,UZB,2022,1.1097683,0.009698031,Lower-middle-income countries
