Entity,Code,Year,17.13.1 - Broad money to total reserves ratio - FM_LBL_BMNY_IR_ZS
China,CHN,1980,6.9
China,CHN,1990,8.14
China,CHN,2000,9.56
China,CHN,2010,3.68
China,CHN,2020,9.27
India,IND,1960,12.12
India,IND,1970,13.04
India,IND,1980,5.35
India,IND,1990,24.02
India,IND,2000,6.23
India,IND,2010,4.33
India,IND,2020,3.97
Russia,RUS,2010,1.64
Russia,RUS,2020,1.75
United States,USA,1960,16.59
United States,USA,1970,46.07
United States,USA,1980,11.59
United States,USA,1990,24.54
United States,USA,2000,54.7
United States,USA,2010,26.12
United States,USA,2020,37.08
