Entity,Code,Year,Prevalence - Asperger syndrome and other autistic spectrum disorders - Sex: Both - Age: Age-standardized (Percent)
Australia,AUS,1990,0.551750493084
Australia,AUS,1995,0.554708768369
Australia,AUS,2000,0.556198842768
Australia,AUS,2005,0.55850334524
Australia,AUS,2010,0.561148078296
Australia,AUS,2016,0.5595885269449999
Croatia,HRV,1990,0.609131272197
Croatia,HRV,1995,0.610567796776
Croatia,HRV,2000,0.611522669535
Croatia,HRV,2005,0.613576039418
Croatia,HRV,2010,0.6172192893549999
Croatia,HRV,2016,0.6204604681420001
India,IND,1990,0.652170502089
India,IND,1995,0.652839979377
India,IND,2000,0.653905064284
India,IND,2005,0.654312762425
India,IND,2010,0.656164110406
India,IND,2016,0.658862818876
Malta,MLT,1990,0.50188417046
Malta,MLT,1995,0.5048132286770001
Malta,MLT,2000,0.5075528416399999
Malta,MLT,2005,0.511148281176
Malta,MLT,2010,0.511659348539
Malta,MLT,2016,0.5128780046579999
United Kingdom,GBR,1990,0.4995822835669999
United Kingdom,GBR,1995,0.499875487948
United Kingdom,GBR,2000,0.500745035358
United Kingdom,GBR,2005,0.504714479239
United Kingdom,GBR,2010,0.506813387238
United Kingdom,GBR,2016,0.50792783966
