Entity,Code,Year,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number)
Afghanistan,AFG,1990,11580
Afghanistan,AFG,1995,13106
Afghanistan,AFG,2000,13977
Afghanistan,AFG,2005,15556
Afghanistan,AFG,2010,16718
Afghanistan,AFG,2015,18876
Afghanistan,AFG,2019,21247
Armenia,ARM,1990,4136
Armenia,ARM,1995,4487
Armenia,ARM,2000,4696
Armenia,ARM,2005,5248
Armenia,ARM,2010,5672
Armenia,ARM,2015,5768
Armenia,ARM,2019,5834
Malaysia,MYS,1990,11157
Malaysia,MYS,1995,13847
Malaysia,MYS,2000,15811
Malaysia,MYS,2005,18170
Malaysia,MYS,2010,21545
Malaysia,MYS,2015,25722
Malaysia,MYS,2019,31294
Maldives,MDV,1990,95
Maldives,MDV,1995,105
Maldives,MDV,2000,116
Maldives,MDV,2005,121
Maldives,MDV,2010,143
Maldives,MDV,2015,173
Maldives,MDV,2019,214
