Entity,Code,Year,Domestic guests in tourism accommodation (hotels and similar establishments)
Azerbaijan,AZE,2005,134000.0
Azerbaijan,AZE,2010,226000.0
Azerbaijan,AZE,2015,342000.0
Azerbaijan,AZE,2021,901000.0
Botswana,BWA,2005,145000.0
Bulgaria,BGR,2000,1321000.0
Bulgaria,BGR,2005,1721000.0
Bulgaria,BGR,2010,1996000.0
Bulgaria,BGR,2015,2938000.0
Bulgaria,BGR,2021,3242000.0
Malaysia,MYS,2000,13606000.0
Malaysia,MYS,2005,29926000.0
Malaysia,MYS,2010,27535000.0
Malaysia,MYS,2015,45942000.0
Malaysia,MYS,2021,19872000.0
Netherlands,NLD,1998,7062000.0
Netherlands,NLD,2000,7801000.0
Netherlands,NLD,2005,8301000.0
Netherlands,NLD,2010,10499000.0
Netherlands,NLD,2015,12410000.0
Netherlands,NLD,2021,13113000.0
