Entity,Code,Year,Number of articles - Field: All
Belgium,BEL,2010,1271
Belgium,BEL,2012,1422
Belgium,BEL,2014,1503
Belgium,BEL,2016,1517
Belgium,BEL,2018,1733
Belgium,BEL,2020,2096
Belgium,BEL,2021,2193
Brunei,BRN,2010,4
Brunei,BRN,2012,17
Brunei,BRN,2014,26
Brunei,BRN,2016,34
Brunei,BRN,2018,20
Brunei,BRN,2020,35
Brunei,BRN,2021,63
Cuba,CUB,2010,92
Cuba,CUB,2012,105
Cuba,CUB,2014,132
Cuba,CUB,2016,129
Cuba,CUB,2018,168
Cuba,CUB,2020,94
Cuba,CUB,2021,151
Malawi,MWI,2010,2
Malawi,MWI,2012,3
Malawi,MWI,2014,6
Malawi,MWI,2016,6
Malawi,MWI,2018,6
Malawi,MWI,2020,4
Malawi,MWI,2021,16
Uzbekistan,UZB,2010,9
Uzbekistan,UZB,2012,4
Uzbekistan,UZB,2014,3
Uzbekistan,UZB,2016,20
Uzbekistan,UZB,2018,12
Uzbekistan,UZB,2020,155
Uzbekistan,UZB,2021,201
