Entity,Code,Year,Deaths,Population (historical estimates),Continent
Acute glomerulonephritis,,1990,1615.0,,
Acute glomerulonephritis,,2019,263.0,,
Congenital heart anomalies,,1990,330302.0,,
Congenital heart anomalies,,2019,174442.0,,
Diarrheal diseases,,1990,1649581.0,,
Diarrheal diseases,,2019,500664.0,,
Drowning,,1990,184096.0,,
Drowning,,2019,36507.0,,
Encephalitis,,1990,63089.0,,
Encephalitis,,2019,16854.0,,
Lower respiratory infections,,1990,2209128.0,,
Lower respiratory infections,,2019,671928.0,,
Malaria,,1990,553826.0,,
Malaria,,2019,356363.0,,
Measles,,1990,704288.0,,
Measles,,2019,69854.0,,
Meningitis,,1990,284149.0,,
Meningitis,,2019,112205.0,,
Neonatal encephalopathy due to birth asphyxia and trauma,,1990,808681.0,,
Neonatal encephalopathy due to birth asphyxia and trauma,,2019,566976.0,,
Neonatal preterm birth,,1990,1269043.0,,
Neonatal preterm birth,,2019,663520.0,,
Other congenital birth defects,,1990,191260.0,,
Other congenital birth defects,,2019,117979.0,,
Protein-energy malnutrition,,1990,503324.0,,
Protein-energy malnutrition,,2019,93739.0,,
