Entity,Code,Year,Average scheduled minutes of work per day (Atack and Bateman (1992))
All Industries,,1880,10.00000002
Blacksmithing,,1880,10.00000002
Chemicals,,1880,10.333333354
Clothing,,1880,9.9833333533
Coke/Gas/Oil,,1880,10.1333333536
Fabricated Metals,,1880,9.9000000198
Food,,1880,10.2833333539
Glass/Brick,,1880,9.8000000196
Leather,,1880,9.9666666866
Paper,,1880,10.5500000211
Primary Metals,,1880,9.8833333531
Printing,,1880,9.8833333531
Textiles,,1880,10.2000000204
Tobacco,,1880,9.9666666866
Transportation Equipment,,1880,9.9166666865
