Entity,Code,Year,Number of significant volcanic eruptions (NGDC-WDS)
World,OWID_WRL,1693,2
World,OWID_WRL,1705,0
World,OWID_WRL,1717,3
World,OWID_WRL,1729,2
World,OWID_WRL,1741,1
World,OWID_WRL,1753,1
World,OWID_WRL,1765,0
World,OWID_WRL,1777,0
World,OWID_WRL,1789,1
World,OWID_WRL,1801,1
World,OWID_WRL,1813,1
World,OWID_WRL,1825,1
World,OWID_WRL,1837,1
World,OWID_WRL,1849,0
World,OWID_WRL,1861,3
World,OWID_WRL,1873,2
World,OWID_WRL,1885,2
World,OWID_WRL,1897,2
World,OWID_WRL,1909,2
World,OWID_WRL,1921,1
World,OWID_WRL,1933,4
World,OWID_WRL,1945,0
World,OWID_WRL,1957,4
World,OWID_WRL,1969,4
World,OWID_WRL,1981,7
World,OWID_WRL,1993,9
World,OWID_WRL,2005,3
World,OWID_WRL,2017,8
