Entity,Code,Year,"10.b.1 - Total assistance for development, by donor countries (millions of current United States dollars) - DC_TRF_TOTDL"
Canada,CAN,2000,6483130000.0
Canada,CAN,2005,13373460000.0
Canada,CAN,2010,22641940000.0
Canada,CAN,2015,3717610000.0
Canada,CAN,2021,10008540000.0
France,FRA,2000,5557310000.0
France,FRA,2005,15743960000.0
France,FRA,2010,35198010000.0
France,FRA,2015,1233890000.0
France,FRA,2021,19035750000.0
Germany,DEU,2000,12330770000.0
Germany,DEU,2005,30682650000.0
Germany,DEU,2010,41636640000.0
Germany,DEU,2015,20645870000.0
Germany,DEU,2021,68835380000.0
Italy,ITA,2000,10846330000.0
Italy,ITA,2005,4103490000.0
Italy,ITA,2010,9608160000.0
Italy,ITA,2015,15621230000.0
Italy,ITA,2021,11963200000.0
Japan,JPN,2000,11422920000.0
Japan,JPN,2005,23238210000.0
Japan,JPN,2010,48249030000.0
Japan,JPN,2015,9701110000.0
Japan,JPN,2021,38494110000.0
United Kingdom,GBR,2000,10229840000.0
United Kingdom,GBR,2005,31268740000.0
United Kingdom,GBR,2010,25632000000.0
United Kingdom,GBR,2015,18552850000.0
United Kingdom,GBR,2021,16145940000.0
United States,USA,2000,25252070000.0
United States,USA,2005,113525770000.0
United States,USA,2010,216949970000.0
United States,USA,2015,38519850000.0
United States,USA,2021,238682440000.0
