Entity,Code,Year,Annual CO₂ emissions from coal
Australia,AUS,1850,112052.0
Australia,AUS,1900,10046688.0
Australia,AUS,1950,44070590.0
Australia,AUS,2000,185796850.0
Australia,AUS,2022,144105100.0
Canada,CAN,1800,3664.0
Canada,CAN,1850,58624.0
Canada,CAN,1900,20250860.0
Canada,CAN,1950,96819840.0
Canada,CAN,2000,129620140.0
Canada,CAN,2022,35796972.0
China,CHN,1950,77614510.0
China,CHN,2000,2601736700.0
China,CHN,2022,8250736000.0
Germany,DEU,1800,795088.0
Germany,DEU,1850,15139648.0
Germany,DEU,1900,323729060.0
Germany,DEU,1950,496900700.0
Germany,DEU,2000,373460200.0
Germany,DEU,2022,242395490.0
India,IND,1900,10654489.0
India,IND,1950,52559716.0
India,IND,2000,572876000.0
India,IND,2022,1854258000.0
South Africa,ZAF,1900,2330304.0
South Africa,ZAF,1950,55172160.0
South Africa,ZAF,2000,337883070.0
South Africa,ZAF,2022,338134800.0
United Kingdom,GBR,1750,9305937.0
United Kingdom,GBR,1800,31340080.0
United Kingdom,GBR,1850,122350150.0
United Kingdom,GBR,1900,416684740.0
United Kingdom,GBR,1950,453925280.0
United Kingdom,GBR,2000,144443090.0
United Kingdom,GBR,2022,19580692.0
United States,USA,1800,252815.98
United States,USA,1850,19792928.0
United States,USA,1900,626544000.0
United States,USA,1950,1257231900.0
United States,USA,2000,2163758600.0
United States,USA,2022,934697540.0
