Entity,Code,Year,Per capita consumption-based CO₂ emissions
Australia,AUS,1990,14.272884
Australia,AUS,1995,14.533415
Australia,AUS,2000,15.296119
Australia,AUS,2005,17.053257
Australia,AUS,2010,17.938091
Australia,AUS,2015,16.02545
Australia,AUS,2021,13.051487
Brazil,BRA,1990,1.6286432
Brazil,BRA,1995,1.8269577
Brazil,BRA,2000,1.9916178
Brazil,BRA,2005,1.8737448
Brazil,BRA,2010,2.4691334
Brazil,BRA,2015,2.6713803
Brazil,BRA,2021,2.1566315
China,CHN,1990,2.0112135
China,CHN,1995,2.4577985
China,CHN,2000,2.5809104
China,CHN,2005,3.6154714
China,CHN,2010,5.4419575
China,CHN,2015,6.3629246
China,CHN,2021,7.2376294
European Union (27),,1990,10.517521
European Union (27),,1995,10.010344
European Union (27),,2000,9.877318
European Union (27),,2005,10.425749
European Union (27),,2010,9.774652
European Union (27),,2015,8.129598
European Union (27),,2021,7.860042
India,IND,1990,0.6610749
India,IND,1995,0.74583066
India,IND,2000,0.8570621
India,IND,2005,0.94954866
India,IND,2010,1.2716819
India,IND,2015,1.5838342
India,IND,2021,1.7389793
South Africa,ZAF,1990,5.4965363
South Africa,ZAF,1995,6.1573796
South Africa,ZAF,2000,6.115122
South Africa,ZAF,2005,6.1019564
South Africa,ZAF,2010,6.5079613
South Africa,ZAF,2015,5.9918714
South Africa,ZAF,2021,5.0127277
United Kingdom,GBR,1990,11.704264
United Kingdom,GBR,1995,11.122535
United Kingdom,GBR,2000,12.644138
United Kingdom,GBR,2005,12.422789
United Kingdom,GBR,2010,10.783701
United Kingdom,GBR,2015,9.024856
United Kingdom,GBR,2021,7.6306796
United States,USA,1990,20.34809
United States,USA,1995,20.222986
United States,USA,2000,22.145792
United States,USA,2005,22.651945
United States,USA,2010,19.17141
United States,USA,2015,17.837778
United States,USA,2021,16.534756
