Entity,Code,Year,"Meat, pig | 00001035 || Yield | 005417 || kilograms per animal"
Canada,CAN,1961,70.4
Canada,CAN,1970,72.0
Canada,CAN,1980,73.9
Canada,CAN,1990,76.5
Canada,CAN,2000,83.3
Canada,CAN,2010,91.0
Canada,CAN,2021,102.6
China,CHN,1961,41.5
China,CHN,1970,44.7
China,CHN,1980,57.100002
China,CHN,1990,73.6
China,CHN,2000,85.0
China,CHN,2010,76.0
China,CHN,2021,88.3
Ireland,IRL,1961,68.200005
Ireland,IRL,1970,69.1
Ireland,IRL,1980,64.3
Ireland,IRL,1990,66.1
Ireland,IRL,2000,73.1
Ireland,IRL,2010,80.6
Ireland,IRL,2021,90.8
United States,USA,1961,63.100002
United States,USA,1970,70.0
United States,USA,1980,77.6
United States,USA,1990,81.5
United States,USA,2000,87.6
United States,USA,2010,92.3
United States,USA,2021,97.3
