Entity,Code,Year,Life expectancy - Sex: all - Age: at birth - Variant: estimates,Health expenditure per capita - Total,Population (historical estimates),Continent
Africa,,2021,,,1393676724.0,
Asia,,2021,,,4693332132.0,
Australia,AUS,2021,84.5,5838.528,25921094.0,
Brazil,BRA,2021,72.8,,214326224.0,
Bulgaria,BGR,2021,71.8,2232.605,6885864.0,
Chile,CHL,2021,78.9,2326.994,19493184.0,
China,CHN,2021,78.2,,1425893504.0,
Colombia,COL,2021,72.8,1328.741,51516560.0,
Costa Rica,CRI,2021,77.0,1518.311,5153959.0,
Croatia,HRV,2021,77.6,2353.031,4060139.0,
Czechia,CZE,2021,77.7,3777.884,10510748.0,
Europe,,2021,,,746417727.0,
Finland,FIN,2021,82.0,4671.623,5535982.0,
France,FRA,2021,82.5,5234.485,64531448.0,
Germany,DEU,2021,80.6,6505.642,83408560.0,
Greece,GRC,2021,80.1,2494.88,10445368.0,
India,IND,2021,67.2,,1407563904.0,
Indonesia,IDN,2021,67.6,,273753184.0,
Israel,ISR,2021,82.3,2992.038,8900057.0,
Italy,ITA,2021,82.9,3463.07,59240336.0,
Japan,JPN,2021,84.8,4827.076,124612528.0,
Lithuania,LTU,2021,73.7,2937.319,2786652.0,
Malta,MLT,2021,83.8,,526751.0,
Mexico,MEX,2021,70.2,1130.251,126705136.0,
Netherlands,NLD,2021,81.7,5723.261,17501696.0,
North America,,2021,,,597123384.0,
Norway,NOR,2021,83.2,6210.467,5403021.0,
Oceania,,2021,,,44492065.0,
Peru,PER,2021,72.4,,33715464.0,
Poland,POL,2021,76.5,2339.77,38307724.0,
Portugal,PRT,2021,81.0,3466.606,10290109.0,
Romania,ROU,2021,74.2,1940.85,19328558.0,
Slovakia,SVK,2021,74.9,2621.165,5447621.0,
South Africa,ZAF,2021,62.3,,59392256.0,
South America,,2021,,,434254167.0,
Switzerland,CHE,2021,84.0,7020.862,8691409.0,
Turkey,TUR,2021,76.0,1549.98,84775408.0,
United Kingdom,GBR,2021,80.7,4826.027,67281040.0,
United States,USA,2021,77.2,10837.454,336997632.0,
