Entity,Code,Year,Fish and seafood | 00002960 || Food available for consumption | 0645pc || kilograms per year per capita
Bangladesh,BGD,2020,26.27421
China,CHN,2020,40.333355
Greece,GRC,2020,21.535734
Hong Kong,HKG,2020,65.78512
Iceland,ISL,2020,84.30447
India,IND,2020,7.886377
Japan,JPN,2020,46.654346
Maldives,MDV,2020,87.30368
Portugal,PRT,2020,59.35927
South Africa,ZAF,2020,6.515673
South Korea,KOR,2020,54.656467
Spain,ESP,2020,40.295116
United Kingdom,GBR,2020,18.130749
United States,USA,2020,22.45492
