Entity,Code,Year,Coal (% equivalent primary energy)
Canada,CAN,1965,12.957609
Canada,CAN,1980,9.510345
Canada,CAN,1990,10.490093
Canada,CAN,2000,9.737885
Canada,CAN,2010,7.647883
Canada,CAN,2022,2.7296147
France,FRA,1965,36.737545
France,FRA,1980,15.705794
France,FRA,1990,8.309478
France,FRA,2000,5.302378
France,FRA,2010,4.4657354
France,FRA,2022,2.5519443
Germany,DEU,1965,62.96032
Germany,DEU,1980,38.774967
Germany,DEU,1990,36.485134
Germany,DEU,2000,24.875908
Germany,DEU,2010,23.294445
Germany,DEU,2022,18.945194
Italy,ITA,1965,10.805003
Italy,ITA,1980,8.4698715
Italy,ITA,1990,9.17895
Italy,ITA,2000,6.934749
Italy,ITA,2010,7.8079715
Italy,ITA,2022,4.9668055
United Kingdom,GBR,1965,58.946236
United Kingdom,GBR,1980,34.709885
United Kingdom,GBR,1990,30.111319
United Kingdom,GBR,2000,16.031227
United Kingdom,GBR,2010,14.297965
United Kingdom,GBR,2022,2.8900552
United States,USA,1965,22.329023
United States,USA,1980,20.691929
United States,USA,1990,23.612549
United States,USA,2000,23.682182
United States,USA,2010,22.351156
United States,USA,2022,10.289186
