Entity,Code,Year,Annual CO₂ emissions
Brazil,BRA,1950,19659072.0
Brazil,BRA,2000,340183000.0
Brazil,BRA,2022,483477300.0
China,CHN,1950,78835290.0
China,CHN,2000,3649201000.0
China,CHN,2022,11396777000.0
France,FRA,1850,19617056.0
France,FRA,1900,129276920.0
France,FRA,1950,202278640.0
France,FRA,2000,406507520.0
France,FRA,2022,297533920.0
Germany,DEU,1800,795088.0
Germany,DEU,1850,15139648.0
Germany,DEU,1900,326759200.0
Germany,DEU,1950,510681820.0
Germany,DEU,2000,898938050.0
Germany,DEU,2022,665604700.0
India,IND,1900,11929561.0
India,IND,1950,61102560.0
India,IND,2000,977526400.0
India,IND,2022,2829644300.0
United Kingdom,GBR,1750,9305937.0
United Kingdom,GBR,1800,31340080.0
United Kingdom,GBR,1850,122350150.0
United Kingdom,GBR,1900,419740500.0
United Kingdom,GBR,1950,500792130.0
United Kingdom,GBR,2000,569033660.0
United Kingdom,GBR,2022,318654370.0
United States,USA,1800,252815.98
United States,USA,1850,19792928.0
United States,USA,1900,662738400.0
United States,USA,1950,2541485300.0
United States,USA,2000,6010135600.0
United States,USA,2022,5057303600.0
