Entity,Code,Year,Gas price
Average German import price,,1984,13.633105
Average German import price,,1990,9.471347
Average German import price,,1995,8.291712
Average German import price,,2000,9.929977
Average German import price,,2005,19.893044
Average German import price,,2010,27.40186
Average German import price,,2015,22.925518
Average German import price,,2022,82.46803
Canada (Alberta),,1990,3.5825996
Canada (Alberta),,1995,3.0366797
Canada (Alberta),,2000,12.786469
Canada (Alberta),,2005,24.737
Canada (Alberta),,2010,12.576307
Canada (Alberta),,2015,6.8489823
LNG Japan CIF,,1984,17.4012
LNG Japan CIF,,1990,12.435283
LNG Japan CIF,,1995,11.809997
LNG Japan CIF,,2000,16.11573
LNG Japan CIF,,2005,20.63478
LNG Japan CIF,,2010,37.297436
LNG Japan CIF,,2015,35.029564
LNG Japan Korea Marker (JKM),,2010,26.34261
LNG Japan Korea Marker (JKM),,2015,25.419054
LNG Japan Korea Marker (JKM),,2022,115.93975
Netherlands TTF index (DA ICIS Heren TTF index),,2005,20.725826
Netherlands TTF index (DA ICIS Heren TTF index),,2010,23.097183
Netherlands TTF index (DA ICIS Heren TTF index),,2015,21.962942
Netherlands TTF index (DA ICIS Heren TTF index),,2022,127.87402
UK NBP (ICIS NBP Index),,2000,9.249372
UK NBP (ICIS NBP Index),,2005,25.19105
UK NBP (ICIS NBP Index),,2010,22.369574
UK NBP (ICIS NBP Index),,2015,22.267046
UK NBP (ICIS NBP Index),,2022,85.64119
US Henry Hub,,1990,5.589993
US Henry Hub,,1995,5.754906
US Henry Hub,,2000,14.418543
US Henry Hub,,2005,29.977262
US Henry Hub,,2010,14.974753
US Henry Hub,,2015,8.883711
US Henry Hub,,2022,21.99648
