Entity,Code,Year,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"
Brazil,BRA,1990,15.143862
Brazil,BRA,1995,15.412857
Brazil,BRA,2000,15.773481
Brazil,BRA,2005,15.595925
Brazil,BRA,2010,15.955285
Brazil,BRA,2015,13.594656
Brazil,BRA,2017,12.70663
China,CHN,1990,57.765007
China,CHN,1995,58.66016
China,CHN,2000,60.704838
China,CHN,2005,66.17451
China,CHN,2010,69.47957
China,CHN,2015,59.063423
China,CHN,2017,52.664597
India,IND,1990,81.290634
India,IND,1995,82.7713
India,IND,2000,84.1648
India,IND,2005,90.32646
India,IND,2010,95.75818
India,IND,2015,89.30334
India,IND,2017,90.87321
Kenya,KEN,1990,28.547552
Kenya,KEN,1995,28.520779
Kenya,KEN,2000,28.385498
Kenya,KEN,2005,27.477299
Kenya,KEN,2010,28.15477
Kenya,KEN,2015,28.53628
Kenya,KEN,2017,28.578375
United Kingdom,GBR,1990,13.508186
United Kingdom,GBR,1995,13.005445
United Kingdom,GBR,2000,12.618229
United Kingdom,GBR,2005,12.537897
United Kingdom,GBR,2010,12.2991085
United Kingdom,GBR,2015,10.754873
United Kingdom,GBR,2017,10.472691
United States,USA,1990,9.701667
United States,USA,1995,9.566392
United States,USA,2000,9.525138
United States,USA,2005,9.609824
United States,USA,2010,9.358637
United States,USA,2015,8.06392
United States,USA,2017,7.4094415
