Entity,Code,Year,Population of the top 30 largest urban agglomerations in 2018 (estimates),Population of the top 30 largest urban agglomerations in 2018 (projections)
Buenos Aires,,1950,5166140.0,
Buenos Aires,,1960,6761837.0,
Buenos Aires,,1980,9919781.0,
Buenos Aires,,2000,12503871.0,
Buenos Aires,,2020,,15153729.0
Buenos Aires,,2035,,17127740.0
Ciudad de México (Mexico City),,1950,3365081.0,
Ciudad de México (Mexico City),,1960,5479184.0,
Ciudad de México (Mexico City),,1980,13027620.0,
Ciudad de México (Mexico City),,2000,18457028.0,
Ciudad de México (Mexico City),,2020,,21782378.0
Ciudad de México (Mexico City),,2035,,25414624.0
Dhaka,,1950,335760.0,
Dhaka,,1960,507920.97,
Dhaka,,1980,3265663.0,
Dhaka,,2000,10284947.0,
Dhaka,,2020,,21005860.0
Dhaka,,2035,,31233650.0
Kinshasa,,1950,201905.0,
Kinshasa,,1960,442853.0,
Kinshasa,,1980,2052874.1,
Kinshasa,,2000,6140419.0,
Kinshasa,,2020,,14342439.0
Kinshasa,,2035,,26681826.0
Kolkata (Calcutta),,1950,4604143.0,
Kolkata (Calcutta),,1960,5910210.0,
Kolkata (Calcutta),,1980,9100166.0,
Kolkata (Calcutta),,2000,13097153.0,
Kolkata (Calcutta),,2020,,14850066.0
Kolkata (Calcutta),,2035,,19564170.0
Los Angeles-Long Beach-Santa Ana,,1950,4045514.0,
Los Angeles-Long Beach-Santa Ana,,1960,6529638.0,
Los Angeles-Long Beach-Santa Ana,,1980,9511568.0,
Los Angeles-Long Beach-Santa Ana,,2000,11798345.0,
Los Angeles-Long Beach-Santa Ana,,2020,,12446597.0
Los Angeles-Long Beach-Santa Ana,,2035,,13778153.0
Mumbai (Bombay),,1950,3088811.0,
Mumbai (Bombay),,1960,4414904.0,
Mumbai (Bombay),,1980,9199543.0,
Mumbai (Bombay),,2000,16146526.0,
Mumbai (Bombay),,2020,,20411274.0
Mumbai (Bombay),,2035,,27342820.0
Sao Paulo,,1950,2334038.0,
Sao Paulo,,1960,3969759.0,
Sao Paulo,,1980,12089454.0,
Sao Paulo,,2000,17014078.0,
Sao Paulo,,2020,,22043028.0
Sao Paulo,,2035,,24490136.0
Shanghai,,1950,4288091.0,
Shanghai,,1960,6865312.0,
Shanghai,,1980,5927898.0,
Shanghai,,2000,14246541.0,
Shanghai,,2020,,27058480.0
Shanghai,,2035,,34341244.0
