Entity,Code,Year,"Total deaths that are from all causes, in both sexes aged all ages","Deaths that are from all causes, in both sexes aged all ages",Deaths - Cause: All Causes - Sex: Both sexes - Age group: ALLAges,Deaths - Sex: all - Age: all - Variant: estimates
Ecuador,ECU,1970,60495.0,,,74935.0
Ecuador,ECU,1980,57020.0,,,67769.0
Ecuador,ECU,1990,50217.0,51537.98,,59381.0
Ecuador,ECU,2000,56335.0,60029.53,58066.91,63332.0
Ecuador,ECU,2010,61616.0,81300.01,77072.18,72749.0
Ecuador,ECU,2021,105248.0,,,119463.0
Ecuador,ECU,1950,,,,68227.0
Ecuador,ECU,1960,,,,71016.0
Haiti,HTI,1990,,84016.805,,97347.0
Haiti,HTI,2000,,88929.23,93697.39,86605.0
Haiti,HTI,2010,,319264.38,319138.2,174845.0
Haiti,HTI,1950,,,,87321.0
Haiti,HTI,1960,,,,83104.0
Haiti,HTI,1970,,,,84102.0
Haiti,HTI,1980,,,,92650.0
Haiti,HTI,2021,,,,99459.0
Lower-middle-income countries,,1950,,,,18134002.0
Lower-middle-income countries,,1960,,,,18988422.0
Lower-middle-income countries,,1970,,,,20721706.0
Lower-middle-income countries,,1980,,,,20703618.0
Lower-middle-income countries,,1990,,,,21125280.0
Lower-middle-income countries,,2000,,,,21884632.0
Lower-middle-income countries,,2010,,,,22658222.0
Lower-middle-income countries,,2021,,,,29801332.0
Norway,NOR,1960,32543.0,,,32487.0
Norway,NOR,1970,38723.0,,,38681.0
Norway,NOR,1980,41340.0,,,41326.0
Norway,NOR,1990,46041.0,45182.707,,46049.0
Norway,NOR,2000,44018.0,43876.555,44336.64,44011.0
Norway,NOR,2010,41442.0,40919.965,41554.41,41415.0
Norway,NOR,1950,,,,29558.0
Norway,NOR,2021,,,,41871.0
