Entity,Code,Year,Annual CO₂ emissions per unit energy (kg per kilowatt-hour),"GDP per capita, PPP (constant 2017 international $)",Continent
Afghanistan,AFG,2021,0.45266593,1516.3057,
Africa,,2021,0.2559126,,
Albania,ALB,2021,0.12182185,14518.906,
Algeria,DZA,2021,0.25634086,11039.806,
Angola,AGO,2021,0.18176144,5908.57,
Antigua and Barbuda,ATG,2021,0.21722175,19124.43,
Argentina,ARG,2021,0.19648924,21527.195,
Armenia,ARM,2021,0.14312327,14193.117,
Aruba,ABW,2021,0.17471728,38866.332,
Asia,,2021,0.24324705,,
Australia,AUS,2021,0.24275365,49774.34,
Austria,AUT,2021,0.16355635,54121.145,
Azerbaijan,AZE,2021,0.19589737,14431.661,
Bahamas,BHS,2021,0.14527687,30210.162,
Bangladesh,BGD,2021,0.20597593,5911.013,
Belgium,BEL,2021,0.12956233,51739.54,
Belize,BLZ,2021,0.23596214,8762.623,
Benin,BEN,2021,0.25739318,3321.5522,
Bermuda,BMU,2021,0.14783922,80271.13,
Bhutan,BTN,2021,0.04916791,10907.856,
Bolivia,BOL,2021,0.25468,8052.1772,
Bosnia and Herzegovina,BIH,2021,0.26486498,15666.54,
Burkina Faso,BFA,2021,0.29400876,2179.789,
Burundi,BDI,2021,0.21688098,705.0304,
Cambodia,KHM,2021,0.3007315,4354.5654,
Cameroon,CMR,2021,0.23758021,3700.4644,
Cape Verde,CPV,2021,0.13111836,6114.1333,
Central African Republic,CAF,2021,0.15961574,837.5047,
Chad,TCD,2021,0.39753303,1425.4945,
Colombia,COL,2021,0.16675155,14648.592,
Congo,COG,2021,0.5295275,3234.393,
Costa Rica,CRI,2021,0.12421732,21199.281,
Czechia,CZE,2021,0.20720336,40740.992,
Democratic Republic of Congo,COD,2021,0.10001305,1073.6433,
Ecuador,ECU,2021,0.18722662,10668.758,
Egypt,EGY,2021,0.23441553,11566.05,
El Salvador,SLV,2021,0.16757686,9086.047,
Ethiopia,ETH,2021,0.18046606,2319.0684,
Europe,,2021,0.17642899,,
Fiji,FJI,2021,0.12732047,10359.204,
Gabon,GAB,2021,0.31358543,13813.723,
Guinea-Bissau,GNB,2021,0.2300102,1831.3832,
Guyana,GUY,2021,0.32356122,21925.188,
Haiti,HTI,2021,0.20552346,2870.145,
High-income countries,,2021,0.18285754,50122.207,
Iceland,ISL,2021,0.06039858,53586.156,
India,IND,2021,0.27900144,6592.042,
Indonesia,IDN,2021,0.285819,11858.146,
Iraq,IRQ,2021,0.29188788,8962.395,
Ireland,IRL,2021,0.20920633,102496.22,
Kyrgyzstan,KGZ,2021,0.15582179,4814.9565,
Lesotho,LSO,2021,0.5097724,2295.2322,
Mali,MLI,2021,0.2706581,2120.6233,
Malta,MLT,2021,0.041039776,44658.72,
Mauritania,MRT,2021,0.24202791,5307.522,
Mauritius,MUS,2021,0.15966786,20967.947,
Mongolia,MNG,2021,0.50997996,11668.431,
Myanmar,MMR,2021,0.21602796,4032.6257,
Nepal,NPL,2021,0.3236653,3831.9485,
Niger,NER,2021,0.29369238,1186.5768,
North America,,2021,0.18853998,,
Oceania,,2021,0.2313986,,
Panama,PAN,2021,0.099405535,29037.945,
Papua New Guinea,PNG,2021,0.3761054,3677.4602,
Paraguay,PRY,2021,0.08756441,13687.655,
Poland,POL,2021,0.2700712,34915.523,
Singapore,SGP,2021,0.06130282,106032.23,
South America,,2021,0.15562487,,
Switzerland,CHE,2021,0.1198067,71032.84,
Tajikistan,TJK,2021,0.13337223,3903.32,
Turks and Caicos Islands,TCA,2021,0.39077267,18512.457,
Upper-middle-income countries,,2021,0.2368387,18192.873,
