Entity,Code,Year,MCV2 (% of one-year-olds immunized),Continent,Share - Question: q25 - Vaccines are safe - Answer: Disagree - Gender: all - Age group: all,Year.1
Afghanistan,AFG,2019,41.0,,4.4709854,2018.0
Afghanistan,AFG,2021,44.0,,4.4709854,2018.0
Albania,ALB,2019,96.0,,15.848162,2018.0
Albania,ALB,2021,92.0,,15.848162,2018.0
Algeria,DZA,2019,77.0,,11.275698,2018.0
Algeria,DZA,2021,77.0,,11.275698,2018.0
Argentina,ARG,2019,84.0,,4.8453727,2018.0
Argentina,ARG,2021,79.0,,4.8453727,2018.0
Armenia,ARM,2019,96.0,,20.570263,2018.0
Armenia,ARM,2021,94.0,,20.570263,2018.0
Australia,AUS,2019,94.0,,6.9062147,2018.0
Australia,AUS,2021,94.0,,6.9062147,2018.0
Austria,AUT,2019,86.0,,21.05363,2018.0
Austria,AUT,2021,88.0,,21.05363,2018.0
Azerbaijan,AZE,2019,97.0,,11.221876,2018.0
Azerbaijan,AZE,2021,90.0,,11.221876,2018.0
Bangladesh,BGD,2019,93.0,,0.9081961,2018.0
Bangladesh,BGD,2021,93.0,,0.9081961,2018.0
Belarus,BLR,2019,98.0,,14.774946,2018.0
Belarus,BLR,2021,98.0,,14.774946,2018.0
Bolivia,BOL,2019,44.0,,13.104352,2018.0
Bolivia,BOL,2021,56.0,,13.104352,2018.0
Botswana,BWA,2019,76.0,,9.001017,2018.0
Botswana,BWA,2021,70.0,,9.001017,2018.0
Brazil,BRA,2019,54.0,,9.0423565,2018.0
Brazil,BRA,2021,46.0,,9.0423565,2018.0
Bulgaria,BGR,2019,95.0,,15.613044,2018.0
Bulgaria,BGR,2021,86.0,,15.613044,2018.0
Burkina Faso,BFA,2019,71.0,,20.752563,2018.0
Burkina Faso,BFA,2021,71.0,,20.752563,2018.0
Burundi,BDI,2019,80.0,,6.529531,2018.0
Burundi,BDI,2021,85.0,,6.529531,2018.0
Cameroon,CMR,2021,35.0,,13.10581,2018.0
Canada,CAN,2019,87.0,,8.322633,2018.0
Canada,CAN,2021,83.0,,8.322633,2018.0
Chile,CHL,2019,91.0,,11.377432,2018.0
Chile,CHL,2021,58.0,,11.377432,2018.0
Colombia,COL,2019,89.0,,10.703785,2018.0
Colombia,COL,2021,86.0,,10.703785,2018.0
Comoros,COM,2021,19.0,,7.5059705,2018.0
Congo,COG,2019,9.0,,17.507635,2018.0
Congo,COG,2021,31.0,,17.507635,2018.0
Costa Rica,CRI,2019,93.0,,5.810229,2018.0
Costa Rica,CRI,2021,69.0,,5.810229,2018.0
Cote d'Ivoire,CIV,2021,1.0,,16.350672,2018.0
Croatia,HRV,2019,95.0,,6.794648,2018.0
Croatia,HRV,2021,90.0,,6.794648,2018.0
Denmark,DNK,2019,90.0,,8.979715,2018.0
Denmark,DNK,2021,94.0,,8.979715,2018.0
Dominican Republic,DOM,2019,60.0,,4.905059,2018.0
Dominican Republic,DOM,2021,60.0,,4.905059,2018.0
El Salvador,SLV,2019,87.0,,11.386116,2018.0
El Salvador,SLV,2021,71.0,,11.386116,2018.0
Estonia,EST,2019,90.0,,13.489924,2018.0
Estonia,EST,2021,84.0,,13.489924,2018.0
Ethiopia,ETH,2019,41.0,,2.543092,2018.0
Ethiopia,ETH,2021,46.0,,2.543092,2018.0
France,FRA,2019,86.0,,33.293846,2018.0
France,FRA,2021,86.0,,33.293846,2018.0
Ghana,GHA,2019,83.0,,3.4929857,2018.0
Ghana,GHA,2021,83.0,,3.4929857,2018.0
Haiti,HTI,2019,41.0,,20.393074,2018.0
Haiti,HTI,2021,41.0,,20.393074,2018.0
Honduras,HND,2019,85.0,,5.889667,2018.0
Honduras,HND,2021,75.0,,5.889667,2018.0
Hungary,HUN,2019,99.0,,2.632852,2018.0
Hungary,HUN,2021,99.0,,2.632852,2018.0
Iceland,ISL,2019,94.0,,21.267006,2018.0
Iceland,ISL,2021,10.0,,21.267006,2018.0
India,IND,2019,84.0,,1.9952949,2018.0
India,IND,2021,82.0,,1.9952949,2018.0
Indonesia,IDN,2019,71.0,,5.7377253,2018.0
Indonesia,IDN,2021,50.0,,5.7377253,2018.0
Israel,ISR,2019,96.0,,4.8209233,2018.0
Israel,ISR,2021,93.0,,4.8209233,2018.0
Laos,LAO,2019,56.0,,1.8565953,2018.0
Laos,LAO,2021,50.0,,1.8565953,2018.0
Liberia,LBR,2019,13.0,,2.5051758,2018.0
Liberia,LBR,2021,35.0,,2.5051758,2018.0
Madagascar,MDG,2021,24.0,,10.401119,2018.0
Malawi,MWI,2019,75.0,,3.8405266,2018.0
Malawi,MWI,2021,74.0,,3.8405266,2018.0
Mauritius,MUS,2019,99.0,,17.0214,2018.0
Mauritius,MUS,2021,64.0,,17.0214,2018.0
Montenegro,MNE,2019,81.0,,13.437918,2018.0
Montenegro,MNE,2021,79.0,,13.437918,2018.0
Namibia,NAM,2019,56.0,,11.166874,2018.0
Namibia,NAM,2021,63.0,,11.166874,2018.0
Nepal,NPL,2019,76.0,,3.3037214,2018.0
Nepal,NPL,2021,87.0,,3.3037214,2018.0
Nigeria,NGA,2019,9.0,,4.9520464,2018.0
Nigeria,NGA,2021,36.0,,4.9520464,2018.0
Peru,PER,2019,66.0,,17.467445,2018.0
Peru,PER,2021,60.0,,17.467445,2018.0
Romania,ROU,2019,76.0,,12.886169,2018.0
Romania,ROU,2021,75.0,,12.886169,2018.0
Russia,RUS,2019,97.0,,23.611448,2018.0
Russia,RUS,2021,96.0,,23.611448,2018.0
Tanzania,TZA,2019,72.0,,2.293314,2018.0
Tanzania,TZA,2021,62.0,,2.293314,2018.0
Togo,TGO,2019,53.0,,25.01031,2018.0
Togo,TGO,2021,50.0,,25.01031,2018.0
Tunisia,TUN,2019,97.0,,5.0609107,2018.0
Tunisia,TUN,2021,98.0,,5.0609107,2018.0
United States,USA,2019,95.0,,11.088987,2018.0
United States,USA,2021,95.0,,11.088987,2018.0
Yemen,YEM,2019,46.0,,3.0627756,2018.0
Yemen,YEM,2021,52.0,,3.0627756,2018.0
Zambia,ZMB,2019,66.0,,10.275866,2018.0
Zambia,ZMB,2021,81.0,,10.275866,2018.0
