Entity,Code,Year,"Participation time in leisure, social, and associative life (Eurostat)",Population (historical estimates),Continent
Belgium,BEL,2000,246.66666,10264351.0,
Belgium,BEL,2010,238.15915,10877948.0,
Estonia,EST,2000,211.41684,1396881.0,
Estonia,EST,2010,228.35175,1331535.0,
Europe,,2000,,727917165.0,
Europe,,2010,,737406197.0,
Finland,FIN,2000,248.19989,5176208.0,
Finland,FIN,2010,264.43115,5363279.0,
France,FRA,2000,193.94179,58665456.0,
France,FRA,2010,218.56516,62444568.0,
Germany,DEU,2000,245.58139,81551680.0,
Germany,DEU,2010,257.19476,81325088.0,
Italy,ITA,2000,196.68292,56966400.0,
Italy,ITA,2010,204.34741,59822452.0,
Norway,NOR,2000,260.66391,4491204.0,
Norway,NOR,2010,259.62418,4889747.0,
Poland,POL,2000,221.93814,38504432.0,
Poland,POL,2010,216.03506,38597356.0,
Spain,ESP,2000,213.91824,40741652.0,
Spain,ESP,2010,224.14096,46572776.0,
United Kingdom,GBR,2000,234.85625,58850044.0,
United Kingdom,GBR,2010,232.39819,62760048.0,
