Entity,Code,Year,"Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Rate)"
Afghanistan,AFG,1990,2.83
Afghanistan,AFG,1995,2.48
Afghanistan,AFG,2000,2.39
Afghanistan,AFG,2005,2.08
Afghanistan,AFG,2010,1.58
Afghanistan,AFG,2015,1.38
Afghanistan,AFG,2019,1.27
Belarus,BLR,1990,4.98
Belarus,BLR,1995,8.08
Belarus,BLR,2000,10.14
Belarus,BLR,2005,9.4
Belarus,BLR,2010,8.31
Belarus,BLR,2015,7.54
Belarus,BLR,2019,7.17
Papua New Guinea,PNG,1990,7.86
Papua New Guinea,PNG,1995,8.24
Papua New Guinea,PNG,2000,8.79
Papua New Guinea,PNG,2005,8.82
Papua New Guinea,PNG,2010,8.38
Papua New Guinea,PNG,2015,7.54
Papua New Guinea,PNG,2019,7.27
World,OWID_WRL,1990,2.3
World,OWID_WRL,1995,2.23
World,OWID_WRL,2000,2.06
World,OWID_WRL,2005,1.89
World,OWID_WRL,2010,1.65
World,OWID_WRL,2015,1.49
World,OWID_WRL,2019,1.44
