Entity,Code,Year,Period life expectancy at birth - Sex: all - Age: 0
Australia,AUS,1940,66.16
Australia,AUS,1960,70.8657
Australia,AUS,1980,74.5676
Australia,AUS,2000,79.6309
Australia,AUS,2021,84.5265
Australia,AUS,1885,49.05
Guernsey,GGY,1960,72.9905
Guernsey,GGY,1980,75.1855
Guernsey,GGY,2000,79.7982
Guernsey,GGY,2021,82.2318
Guinea-Bissau,GNB,1960,37.4643
Guinea-Bissau,GNB,1980,43.7537
Guinea-Bissau,GNB,2000,50.1209
Guinea-Bissau,GNB,2021,59.6523
Haiti,HTI,1960,43.4993
Haiti,HTI,1980,49.902
Haiti,HTI,2000,58.3652
Haiti,HTI,2021,63.1924
Northern Mariana Islands,MNP,1960,61.8848
Northern Mariana Islands,MNP,1980,68.8385
Northern Mariana Islands,MNP,2000,74.8617
Northern Mariana Islands,MNP,2021,77.1871
Sao Tome and Principe,STP,1960,43.0397
Sao Tome and Principe,STP,1980,59.7387
Sao Tome and Principe,STP,2000,61.6554
Sao Tome and Principe,STP,2021,67.5912
