Entity,Code,Year,Agricultural land (% of land area)
East Asia and Pacific (WB),,1961,43.83874
East Asia and Pacific (WB),,1970,46.099327
East Asia and Pacific (WB),,1980,48.02106
East Asia and Pacific (WB),,1990,50.51107
East Asia and Pacific (WB),,2000,51.03529
East Asia and Pacific (WB),,2010,47.78137
East Asia and Pacific (WB),,2020,47.287613
Europe and Central Asia (WB),,1961,31.526623
Europe and Central Asia (WB),,1970,31.355316
Europe and Central Asia (WB),,1980,31.110865
Europe and Central Asia (WB),,1990,30.982367
Europe and Central Asia (WB),,2000,30.115952
Europe and Central Asia (WB),,2010,29.453388
Europe and Central Asia (WB),,2020,29.046246
Latin America and Caribbean (WB),,1961,28.288185
Latin America and Caribbean (WB),,1970,29.856335
Latin America and Caribbean (WB),,1980,32.75304
Latin America and Caribbean (WB),,1990,33.67646
Latin America and Caribbean (WB),,2000,33.657825
Latin America and Caribbean (WB),,2010,33.455204
Latin America and Caribbean (WB),,2020,32.7825
Middle East and North Africa (WB),,1961,25.755394
Middle East and North Africa (WB),,1970,26.039993
Middle East and North Africa (WB),,1980,26.413855
Middle East and North Africa (WB),,1990,29.685585
Middle East and North Africa (WB),,2000,34.525883
Middle East and North Africa (WB),,2010,33.177513
Middle East and North Africa (WB),,2020,33.39617
North America (WB),,1961,28.102816
North America (WB),,1970,27.452257
North America (WB),,1980,27.025324
North America (WB),,1990,26.944109
North America (WB),,2000,26.241055
North America (WB),,2010,25.687096
North America (WB),,2020,25.592228
South Asia (WB),,1961,55.13555
South Asia (WB),,1970,56.085083
South Asia (WB),,1980,57.034195
South Asia (WB),,1990,56.911247
South Asia (WB),,2000,56.99417
South Asia (WB),,2010,56.43322
South Asia (WB),,2020,56.912086
Sub-Saharan Africa (WB),,1961,38.745075
Sub-Saharan Africa (WB),,1970,39.2532
Sub-Saharan Africa (WB),,1980,39.125496
Sub-Saharan Africa (WB),,1990,40.649372
Sub-Saharan Africa (WB),,2000,41.70898
Sub-Saharan Africa (WB),,2010,43.44789
Sub-Saharan Africa (WB),,2020,42.5426
World,OWID_WRL,1961,34.55308
World,OWID_WRL,1970,35.24709
World,OWID_WRL,1980,35.99057
World,OWID_WRL,1990,37.120735
World,OWID_WRL,2000,37.55157
World,OWID_WRL,2010,36.8778
World,OWID_WRL,2020,36.45884
