Entity,Code,Year,"17.2.1 - Net official development assistance (ODA) to LDCs from OECD-DAC countries, by donor countries (millions of constant 2021 United States dollars) - DC_ODA_LDCS"
Iceland,ISL,2000,6040000.0
Iceland,ISL,2005,11970000.0
Iceland,ISL,2010,19010000.0
Iceland,ISL,2015,20560000.0
Iceland,ISL,2021,27710000.0
Portugal,PRT,2000,295000000.0
Portugal,PRT,2005,199000000.0
Portugal,PRT,2010,295000000.0
Portugal,PRT,2015,106000000.0
Portugal,PRT,2021,157000000.0
United Kingdom,GBR,2000,2187500000.0
United Kingdom,GBR,2005,2893000000.0
United Kingdom,GBR,2010,5139800000.0
United Kingdom,GBR,2015,6300400000.0
United Kingdom,GBR,2021,4335800000.0
