Entity,Code,Year,DALYs (Disability-Adjusted Life Years) - Autism spectrum disorders - Sex: Both - Age: Age-standardized (Rate)
Latvia,LVA,1990,60.52
Latvia,LVA,1995,60.47
Latvia,LVA,2000,60.64
Latvia,LVA,2005,60.74
Latvia,LVA,2010,60.99
Latvia,LVA,2015,61.21
Latvia,LVA,2019,61.43
Northern Ireland,,1990,88.53
Northern Ireland,,1995,88.39
Northern Ireland,,2000,88.42
Northern Ireland,,2005,88.52
Northern Ireland,,2010,88.64
Northern Ireland,,2015,88.86
Northern Ireland,,2019,88.8
Zimbabwe,ZWE,1990,56.17
Zimbabwe,ZWE,1995,55.9
Zimbabwe,ZWE,2000,55.5
Zimbabwe,ZWE,2005,55.35
Zimbabwe,ZWE,2010,55.44
Zimbabwe,ZWE,2015,55.44
Zimbabwe,ZWE,2019,55.43
