Entity,Code,Year,exported_deforestation
Belize,BLZ,2005,168.3445471266161
Belize,BLZ,2006,62.50342830813207
Belize,BLZ,2007,32.456914286896165
Belize,BLZ,2008,135.44587363998824
Belize,BLZ,2009,121.57454465327169
Belize,BLZ,2010,288.75648191159826
Belize,BLZ,2011,403.83385356948565
Belize,BLZ,2012,466.9567553101235
Belize,BLZ,2013,389.5137342414497
Cayman Islands,CYM,2005,0.0
Cayman Islands,CYM,2006,0.0
Cayman Islands,CYM,2007,0.0
Cayman Islands,CYM,2008,0.0
Cayman Islands,CYM,2009,0.0
Cayman Islands,CYM,2010,0.0
Cayman Islands,CYM,2011,0.0
Cayman Islands,CYM,2012,0.0
Cayman Islands,CYM,2013,0.0
Liberia,LBR,2005,743.0113932882778
Liberia,LBR,2006,594.5115171194557
Liberia,LBR,2007,365.3567355510586
Liberia,LBR,2008,123.25039471220408
Liberia,LBR,2009,642.5020879737058
Liberia,LBR,2010,3966.5049979873543
Liberia,LBR,2011,6918.567603630949
Liberia,LBR,2012,5630.768456995887
Liberia,LBR,2013,4924.155365913666
Sri Lanka,LKA,2005,237.87959438360303
Sri Lanka,LKA,2006,227.05614438368863
Sri Lanka,LKA,2007,579.9591010274962
Sri Lanka,LKA,2008,734.9607902068619
Sri Lanka,LKA,2009,910.4706997662352
Sri Lanka,LKA,2010,868.1541619809523
Sri Lanka,LKA,2011,1128.585014170405
Sri Lanka,LKA,2012,916.6677631502462
Sri Lanka,LKA,2013,846.2153183557093
