Entity,Code,Year,Deaths - Parkinson's disease - Sex: Both - Age: Age-standardized (Rate)
Bangladesh,BGD,1990,5.28
Bangladesh,BGD,1995,4.96
Bangladesh,BGD,2000,5.15
Bangladesh,BGD,2005,5.45
Bangladesh,BGD,2010,5.03
Bangladesh,BGD,2015,3.78
Bangladesh,BGD,2019,4.26
Tajikistan,TJK,1990,4.41
Tajikistan,TJK,1995,5.34
Tajikistan,TJK,2000,6.52
Tajikistan,TJK,2005,7.92
Tajikistan,TJK,2010,8.91
Tajikistan,TJK,2015,10.27
Tajikistan,TJK,2019,9.52
Uzbekistan,UZB,1990,3.04
Uzbekistan,UZB,1995,4.08
Uzbekistan,UZB,2000,4.96
Uzbekistan,UZB,2005,6.57
Uzbekistan,UZB,2010,6.64
Uzbekistan,UZB,2015,7.05
Uzbekistan,UZB,2019,6.5
