Entity,Code,Year,Share of global deforestation
Argentina,ARG,1990,1.3503603489695284
Argentina,ARG,2000,2.165773632334458
Argentina,ARG,2010,2.054063214981781
Argentina,ARG,2015,1.3280788177339904
Brazil,BRA,1990,26.89847009735744
Brazil,BRA,2000,33.93067407554409
Brazil,BRA,2010,15.827472248114564
Brazil,BRA,2015,16.706403940886698
Congo,COG,1990,0.0758629409533442
Congo,COG,2000,0.0793808295296685
Congo,COG,2010,0.1016862977713753
Congo,COG,2015,0.1359605911330049
India,IND,1990,2.427614110507017
India,IND,2000,4.164186015743866
India,IND,2010,5.663926785865605
India,IND,2015,6.5852216748768475
Indonesia,IDN,1990,15.969149070678975
Indonesia,IDN,2000,6.410001984520737
Indonesia,IDN,2015,6.403940886699507
South Africa,ZAF,1990,2.5224427866986976
South Africa,ZAF,2000,2.6394125818614804
South Africa,ZAF,2010,1.6862977713753071
South Africa,ZAF,2015,1.9605911330049264
