Entity,Code,Year,Electricity from renewables - TWh
Brazil,BRA,1990,210.56706
Brazil,BRA,2000,308.77
Brazil,BRA,2010,435.99
Brazil,BRA,2022,592.22
Denmark,DNK,1990,0.83000004
Denmark,DNK,2000,5.57
Denmark,DNK,2010,12.43
Denmark,DNK,2022,28.91
France,FRA,1990,55.78
France,FRA,2000,67.83
France,FRA,2010,76.68
France,FRA,2022,115.51
India,IND,1980,55.441372
India,IND,1990,66.46496
India,IND,2000,80.27
India,IND,2010,142.61
India,IND,2022,380.87
Spain,ESP,1965,19.687
Spain,ESP,1970,27.819
Spain,ESP,1980,29.911999
Spain,ESP,1990,26.03
Spain,ESP,2000,34.49
Spain,ESP,2010,97.77
Spain,ESP,2022,120.34
United Kingdom,GBR,1965,4.612
United Kingdom,GBR,1970,4.536
United Kingdom,GBR,1980,3.954
United Kingdom,GBR,1990,5.82
United Kingdom,GBR,2000,9.91
United Kingdom,GBR,2010,26.18
United Kingdom,GBR,2022,134.95
