Entity,Code,Year,"4.4.1 - Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%) - SE_ADT_ACTS - 15 to 24 years old - All areas - Male - Creating electronic presentations with presentation software","4.4.1 - Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%) - SE_ADT_ACTS - 15 to 24 years old - All areas - Female - Creating electronic presentations with presentation software",Continent
Azerbaijan,AZE,2021,13.79,15.08,
Bangladesh,BGD,2021,2.1,1.2,
Belarus,BLR,2021,36.13,35.2,
Belgium,BEL,2021,62.36,73.16,
Bosnia and Herzegovina,BIH,2021,39.45,31.42,
Brazil,BRA,2021,16.92,17.39,
Colombia,COL,2021,31.91,34.34,
Croatia,HRV,2021,57.71,71.28,
Czechia,CZE,2021,54.92,56.34,
France,FRA,2021,78.16,79.6,
Hong Kong,HKG,2021,61.19,65.12,
Hungary,HUN,2021,50.6,52.32,
Jamaica,JAM,2021,10.43,13.78,
Japan,JPN,2021,42.08,49.39,
Macao,MAC,2021,69.42,73.45,
Switzerland,CHE,2021,55.14,61.58,
