Entity,Code,Year,Population of rural area (DEGURBA Level 1),Population of towns and suburbs (DEGURBA Level 1),Population of cities (DEGURBA Level 1)
Africa,,1975,164940910.0,149119470.0,103407700.0
Africa,,1990,215973950.0,225207740.0,196794670.0
Africa,,2000,234287550.0,286303070.0,298145470.0
Africa,,2010,266797170.0,372692030.0,415470000.0
Africa,,2020,323994370.0,481162140.0,555117200.0
Asia,,1975,435619800.0,1305986600.0,652466800.0
Asia,,1990,435587040.0,1832600300.0,939982000.0
Asia,,2000,386528540.0,2007771100.0,1337727200.0
Asia,,2010,364730050.0,2195201000.0,1655770800.0
Asia,,2020,352437630.0,2335106600.0,1969743500.0
Europe,,1975,166498770.0,228828320.0,281268800.0
Europe,,1990,170760560.0,233769800.0,316815580.0
Europe,,2000,165969340.0,242440100.0,318476770.0
Europe,,2010,166777980.0,245755870.0,323699680.0
Europe,,2020,164838020.0,244268540.0,337105540.0
North America,,1975,99166130.0,137151170.0,104604210.0
North America,,1990,105106070.0,157086510.0,158633200.0
North America,,2000,108008970.0,169050200.0,208534000.0
North America,,2010,109935360.0,187916510.0,244345000.0
North America,,2020,112833300.0,194071330.0,286748030.0
Oceania,,1975,6736148.5,5483771.0,9262558.0
Oceania,,1990,7854575.5,6683042.0,12124141.0
Oceania,,2000,9206029.0,8094105.0,13824166.0
Oceania,,2010,10410792.0,10383370.0,16191672.0
Oceania,,2020,10977104.0,12502416.0,20311708.0
South America,,1975,50656420.0,70413470.0,94907544.0
South America,,1990,60169936.0,79807144.0,156760530.0
South America,,2000,59553372.0,87984744.0,201620210.0
South America,,2010,58898980.0,93723000.0,239925520.0
South America,,2020,59896800.0,99389630.0,271646050.0
