Entity,Code,Year,Deaths - Road injuries - Sex: Both - Age: 15-49 years (Rate)
Dominican Republic,DOM,1990,26.21
Dominican Republic,DOM,1995,27.53
Dominican Republic,DOM,2000,29.03
Dominican Republic,DOM,2005,32.09
Dominican Republic,DOM,2010,30.1
Dominican Republic,DOM,2015,34.63
Dominican Republic,DOM,2019,30.09
France,FRA,1990,26.19
France,FRA,1995,21.75
France,FRA,2000,18.82
France,FRA,2005,13.25
France,FRA,2010,10.2
France,FRA,2015,7.82
France,FRA,2019,7.87
Guinea-Bissau,GNB,1990,41.54
Guinea-Bissau,GNB,1995,40.5
Guinea-Bissau,GNB,2000,39.17
Guinea-Bissau,GNB,2005,39.48
Guinea-Bissau,GNB,2010,38.23
Guinea-Bissau,GNB,2015,35.09
Guinea-Bissau,GNB,2019,31.19
Haiti,HTI,1990,16.75
Haiti,HTI,1995,14.37
Haiti,HTI,2000,12.27
Haiti,HTI,2005,12.08
Haiti,HTI,2010,11.36
Haiti,HTI,2015,12.13
Haiti,HTI,2019,11.86
Mexico,MEX,1990,28.68
Mexico,MEX,1995,24.26
Mexico,MEX,2000,21.19
Mexico,MEX,2005,20.58
Mexico,MEX,2010,20.23
Mexico,MEX,2015,18.49
Mexico,MEX,2019,18.84
Romania,ROU,1990,20.2
Romania,ROU,1995,21.02
Romania,ROU,2000,14.49
Romania,ROU,2005,14.51
Romania,ROU,2010,13.95
Romania,ROU,2015,11.12
Romania,ROU,2019,11.49
Saint Lucia,LCA,1990,25.74
Saint Lucia,LCA,1995,25.38
Saint Lucia,LCA,2000,20.35
Saint Lucia,LCA,2005,18.3
Saint Lucia,LCA,2010,16.81
Saint Lucia,LCA,2015,17.81
Saint Lucia,LCA,2019,16.8
