Entity,Code,Year,Natural growth rate - Sex: all - Age: all - Variant: estimates,Median age - Sex: all - Age: all - Variant: estimates,Population (historical estimates),Continent
Africa,,2021,,,1393676724.0,
Algeria,DZA,2021,1.7,27.8,44177964.0,
Asia,,2021,,,4693332132.0,
Australia,AUS,2021,0.51,37.0,25921094.0,
Azerbaijan,AZE,2021,0.31,31.4,10312992.0,
Bangladesh,BGD,2021,1.21,26.3,169356240.0,
Brazil,BRA,2021,0.46,32.8,214326224.0,
Bulgaria,BGR,2021,-1.39,44.5,6885864.0,
Burundi,BDI,2021,2.74,15.6,12551215.0,
Chile,CHL,2021,0.44,34.9,19493184.0,
China,CHN,2021,0.02,37.9,1425893504.0,
Democratic Republic of Congo,COD,2021,3.23,15.6,95894120.0,
East Timor,TLS,2021,1.77,20.3,1320944.0,
Europe,,2021,,,746417727.0,
France,FRA,2021,0.06,41.6,64531448.0,
French Guiana,GUF,2021,2.03,23.7,297462.0,
Georgia,GEO,2021,-0.18,36.4,3757984.0,
Germany,DEU,2021,-0.33,44.9,83408560.0,
Greece,GRC,2021,-0.54,44.7,10445368.0,
Haiti,HTI,2021,1.48,23.0,11447575.0,
India,IND,2021,0.7,27.6,1407563904.0,
Japan,JPN,2021,-0.61,48.4,124612528.0,
Jordan,JOR,2021,1.81,23.4,11148288.0,
Kuwait,KWT,2021,0.75,38.3,4250111.0,
Liberia,LBR,2021,2.24,17.9,5193422.0,
Lithuania,LTU,2021,-0.86,43.7,2786652.0,
Mexico,MEX,2021,0.55,29.0,126705136.0,
Moldova,MDA,2021,-0.39,36.1,3061509.0,
Monaco,MCO,2021,-1.25,54.5,36713.0,
Nepal,NPL,2021,1.26,23.7,30034988.0,
Niger,NER,2021,3.72,14.5,25252722.0,
Nigeria,NGA,2021,2.4,17.0,213401328.0,
North America,,2021,,,597123384.0,
Oceania,,2021,,,44492065.0,
Pakistan,PAK,2021,2.04,20.2,231402112.0,
Palau,PLW,2021,0.25,35.7,18050.0,
Philippines,PHL,2021,1.45,24.5,113880336.0,
Poland,POL,2021,-0.36,40.9,38307724.0,
Romania,ROU,2021,-0.61,41.9,19328558.0,
Russia,RUS,2021,-0.73,38.8,145102752.0,
Saint Helena,SHN,2021,-0.84,50.9,5428.0,
Saint Martin (French part),MAF,2021,1.01,38.2,31964.0,
Saudi Arabia,SAU,2021,1.46,29.8,35950396.0,
Sint Maarten (Dutch part),SXM,2021,-0.01,46.5,44061.0,
Solomon Islands,SLB,2021,2.48,19.3,707855.0,
South America,,2021,,,434254167.0,
South Sudan,SSD,2021,1.81,16.1,10748278.0,
Sudan,SDN,2021,2.68,18.4,45657204.0,
Syria,SYR,2021,1.5,20.9,21324366.0,
Tanzania,TZA,2021,3.0,16.8,63588332.0,
Ukraine,UKR,2021,-0.91,40.8,43531424.0,
Vatican,VAT,2021,-1.78,57.7,,
Vietnam,VNM,2021,0.77,32.0,97468024.0,
Western Sahara,ESH,2021,1.06,30.9,565590.0,
