Entity,Code,Year,Cereals | 00001717 || Yield | 005419 || tonnes per hectare
Africa,,1961,0.8067794
Africa,,1970,0.9161428
Africa,,1980,1.1668485
Africa,,1990,1.2165843
Africa,,2000,1.3257581
Africa,,2010,1.5944204
Africa,,2021,1.750072
Asia,,1961,1.2122993
Asia,,1970,1.6414998
Asia,,1980,2.0733972
Asia,,1990,2.8113072
Asia,,2000,3.1120582
Asia,,2010,3.6448855
Asia,,2021,4.308766
Europe,,1961,1.3723373
Europe,,1970,1.8846993
Europe,,1980,2.221194
Europe,,1990,2.8952155
Europe,,2000,3.1626148
Europe,,2010,3.709401
Europe,,2021,4.5446835
South America,,1961,1.3466914
South America,,1970,1.5505993
South America,,1980,1.712438
South America,,1990,2.0055778
South America,,2000,2.9604619
South America,,2010,4.1489997
South America,,2021,4.675174
World,OWID_WRL,1961,1.3532
World,OWID_WRL,1970,1.7655
World,OWID_WRL,1980,2.1611
World,OWID_WRL,1990,2.7579
World,OWID_WRL,2000,3.067
World,OWID_WRL,2010,3.5451999
World,OWID_WRL,2021,4.1528
