Entity,Code,Year,Scientific and technical journal articles per million people
Burundi,BDI,2000,0.2615865
Burundi,BDI,2002,0.13987169
Burundi,BDI,2004,0.7050065
Burundi,BDI,2006,0.7351603
Burundi,BDI,2008,0.30683324
Burundi,BDI,2010,1.3772908
Burundi,BDI,2012,1.0872363
Burundi,BDI,2014,1.3492242
Burundi,BDI,2016,1.2583313
Burundi,BDI,2018,1.8375642
Dominica,DMA,2000,0.0
Dominica,DMA,2002,29.290726
Dominica,DMA,2004,31.491013
Dominica,DMA,2006,60.063118
Dominica,DMA,2008,75.87871
Dominica,DMA,2010,124.027626
Dominica,DMA,2012,171.8233
Dominica,DMA,2014,145.99066
Dominica,DMA,2016,168.33575
Dominica,DMA,2018,177.86562
Eritrea,ERI,2000,1.9140052
Eritrea,ERI,2002,4.840176
Eritrea,ERI,2004,4.2306895
Eritrea,ERI,2006,6.6386724
Eritrea,ERI,2008,3.1605742
Eritrea,ERI,2010,3.3262033
Eritrea,ERI,2012,1.9215397
Eritrea,ERI,2014,2.2416606
Eritrea,ERI,2016,2.585217
Eritrea,ERI,2018,6.202509
Kiribati,KIR,2000,0.0
Kiribati,KIR,2002,0.0
Kiribati,KIR,2004,0.0
Kiribati,KIR,2006,18.582346
Kiribati,KIR,2008,0.0
Kiribati,KIR,2010,3.0552444
Kiribati,KIR,2012,8.958165
Kiribati,KIR,2014,16.869272
Kiribati,KIR,2016,18.307756
Kiribati,KIR,2018,5.070496
Maldives,MDV,2000,1.7697862
Maldives,MDV,2002,3.4212246
Maldives,MDV,2004,5.527202
Maldives,MDV,2006,11.545398
Maldives,MDV,2008,2.7308617
Maldives,MDV,2010,9.01601
Maldives,MDV,2012,23.067871
Maldives,MDV,2014,16.484861
Maldives,MDV,2016,12.415715
Maldives,MDV,2018,15.190711
Russia,RUS,2000,219.44257
Russia,RUS,2002,234.68916
Russia,RUS,2004,227.02286
Russia,RUS,2006,204.3849
Russia,RUS,2008,222.23201
Russia,RUS,2010,236.15456
Russia,RUS,2012,250.645
Russia,RUS,2014,307.49002
Russia,RUS,2016,431.82486
Russia,RUS,2018,560.0967
South Sudan,SSD,2000,0.0
South Sudan,SSD,2002,0.0
South Sudan,SSD,2004,0.0
South Sudan,SSD,2006,0.0
South Sudan,SSD,2008,0.0
South Sudan,SSD,2010,0.0
South Sudan,SSD,2012,0.31957823
South Sudan,SSD,2014,0.4913814
South Sudan,SSD,2016,0.18163554
South Sudan,SSD,2018,0.873469
Uruguay,URY,2000,67.984375
Uruguay,URY,2002,83.21926
Uruguay,URY,2004,93.47264
Uruguay,URY,2006,107.10108
Uruguay,URY,2008,132.0032
Uruguay,URY,2010,151.18475
Uruguay,URY,2012,173.57364
Uruguay,URY,2014,220.19601
Uruguay,URY,2016,246.59848
Uruguay,URY,2018,248.67786
